EquipmentName,EquipmentCode,RegulationID,DepartmentID,UserID
"Resin, Root Canal Filling",KIF,R021,159,343
"Ring, Teething, Fluid-Filled",KKO,R022,160,344
"Chair, Dental, With Operative Unit",KLC,R023,161,345
"Agent, Tooth Bonding, Resin",KLE,R024,162,346
"Tray, Fluoride, Disposable",KMT,R025,163,347
"Handpiece, Rotary Bone Cutting",KMW,R026,164,348
"Positioner, Tooth, Preformed",KMY,R027,165,349
Airbrush,KOJ,R028,166,350
"Sterilizer, Endodontic Dry Heat",KOK,R029,167,351
"Adhesive, Denture, Carboxymethylcellulose Sodium (32%) And Ethylene-Oxide Homopolymer",KOL,R030,168,352
"Adhesive, Denture, Acacia And Karaya With Sodium Borate",KOM,R001,169,353
"Adhesive, Denture, Polyacrylamide Polymer (Modified Cationic)",KON,R002,170,354
"Adhesive, Denture, Polyvinyl Methylether Maleic Acid Calcium-Sodium Double Salt",KOO,R003,171,355
"Adhesive, Denture, Karaya",KOP,R004,172,356
"Adhesive, Denture, Carboxymethylcellulose Sodium (40-100&)",KOQ,R005,173,357
"Adhesive, Denture, Karaya With Sodium Borate",KOR,R006,174,358
"Adhesive, Denture, Carboxymethylcellulose Sodium And Cationic Polyacrylamide Polymer",KOS,R007,175,359
Carboxymethylcellulose Sodium Or Polyvinyl Methylether Maleic Acid Calcium-Sodium,KOT,R008,176,360
"Applicator, Resin",KXR,R009,177,361
"Adhesive, Denture, Carboxymethylcellulose Sodium (49%) And Ethylene-Oxide Homopolymer",KXW,R010,178,362
"Adhesive, Denture, Karaya And Ethylene-Oxide Homopolymer",KXX,R011,179,363
Polyvinyl Methylether Maleic Anhydride &/Or Acid Copolymer & Carboxymethylce,KXY,R012,180,364
"Scanner, Color",KZN,R013,181,365
"Ink, Arch Tracing",KZO,R014,182,366
"Solution, Cement Dissolving",KZP,R015,183,367
"Varnish, Cavity",LBH,R016,184,368
"Scraper, Tongue",LCN,R017,185,369
"Device, Caries Detection",LFC,R018,186,370
"Bone Grafting Material, For Dental Bone Repair",LPK,R019,187,371
"Device, Jaw Repositioning",LQZ,R020,188,372
"Device, Anti-Snoring",LRK,R021,189,373
"Stimulator, Salivary System",LTF,R022,190,374
"Bone Grafting Material, Synthetic",LYC,R023,191,375
"Joint, Temporomandibular, Implant",LZD,R024,192,376
"Eraser, Dental Stain",MAU,R025,193,377
"Unit, Ultraviolet Sanitation/Sterilization (For Toothbrushes), Sterile",MCF,R026,194,378
"Implant, Transmandibular",MDL,R027,195,379
"Ring, Teething, Non-Fluid Filled",MEF,R028,196,380
"Toothbrush, Ionic, Battery-Powered",MMD,R029,197,381
"Resin, Root Canal Filling Containing Chloroform",MMT,R030,1,382
"Adhesive, Denture, Acacia And Karaya With Sodium Borate > 12% By Weight",MMU,R001,2,383
Glenoid Fossa Prosthesis,MPI,R002,3,384
Interarticular Disc Prosthesis (Interpositional Implant),MPJ,R003,4,385
Mandibular Condyle Prosthesis,MPL,R004,5,386
External Mandibular Fixator And/Or Distractor,MQN,R005,6,387
"Device, Detection, Sulfide",MVH,R006,7,388
"System, Dental, Hydrokinetic, Caries Removal & Cavity Preparation",MXF,R007,8,389
Dental Cement W/Out Zinc-Oxide Eugenol As An Ulcer Covering For Pain Relief,MZW,R008,9,390
"Laser, Fluorescence Caries Detection",NBL,R009,10,391
"Accessories, Implant, Dental, Endosseous",NDP,R010,11,392
"Prosthesis, Condyle, Mandibular, Temporary",NEI,R011,12,393
"Materials, Polytetrafluoroethylene Vitreous Carbon, For Maxillofacial Alveolar Ridge Augmentation",NFE,R012,13,394
"Device, Dental Sonography, For Diagnosis Of Tmj / Mpd Disorders",NFP,R013,14,395
"Device, Dental Sonography, For Monitoring Jaw Sounds",NFQ,R014,15,396
"Device, Jaw Tracking, For Diagnosis Of Tmj / Mpd Disorders",NFR,R015,16,397
"Device, Jaw Tracking, For Monitoring Jaw Positions",NFS,R016,17,398
"Abutment, Implant, Dental, Endosseous",NHA,R017,18,399
"Bracket, Ceramic, Orthodontic",NJM,R018,19,400
"Cushion, Pad, Denture, Wax Impregnated Cotton, Over The Counter",NKJ,R019,20,401
"Bracket, Plastic, Orthodontic, Reprocessed",NLC,R020,21,402
"Instrument, Diamond, Dental, Reprocessed",NLD,R021,22,403
"Bur, Diamond Coated, Reprocessed",NME,R022,23,404
"Needle, Dental, Reprocessed",NMW,R023,24,405
"Unit, Ultraviolet Sanitation/Sterilization (For Toothbrushes), Non-Sterile",NOB,R024,25,406
"System, Optical Impression, Computer Assisted Design And Manufacturing (Cad/Cam) Of Dental Restorations",NOF,R025,26,407
"Barrier, Synthetic, Intraoral",NPK,R026,27,408
"Barrier, Animal Source, Intraoral",NPL,R027,28,409
"Bone Grafting Material, Animal Source",NPM,R028,29,410
"Bone Grafting Material, Dental, With Biologic Component",NPZ,R029,30,411
"Biologic Material, Dental",NQA,R030,31,412
"Bracket, Metal, Orthodontic, Reprocessed",NQS,R001,32,413
"Unit, Operative Dental, Accessories",NRD,R002,33,414
Blade-Form Endosseous Dental Implant,NRQ,R003,34,415
"Chair, Dental, Without Operative Unit",NRU,R004,35,416
"Caries Detector, Laser Light, Transmission",NTK,R005,36,417
"Rinse, Oral, Antibacterial (By Physical Means)",NTO,R006,37,418
"Bone Grafting Material, Human Source",NUN,R007,38,419
"Cleanser, Denture, Prescription",NUX,R008,39,420
"Aligner, Sequential",NXC,R009,40,421
"Diagnostic Light, Soft Tissue Detector",NXV,R010,41,422
Dental Hygiene Kit,NXZ,R011,42,423
Dental Prophylaxis Kit,NYC,R012,43,424
Endodontic Kit,NYD,R013,44,425
Fixture Mount Kit,NYE,R014,45,426
Gingival Retraction Kit,NYF,R015,46,427
Lapping Tool Kit,NYG,R016,47,428
Plaque Disclosing Kit,NYH,R017,48,429
"Handpiece, Air-Powered, Root Canal Irrigation",NYL,R018,49,430
"Implant, Endosseous, Orthodontic",OAT,R019,50,431
Restorative Instrument And Component Tray,OFW,R020,51,432
General Purpose Dental Tray,OFX,R021,52,433
Dental Implant Surgical Tray,OFY,R022,53,434
"Expiratory Resistance Valve, Intranasal, For Obstructive Sleep Apnea",OHP,R023,54,435
Dental Amalgam,OIV,R024,55,436
Tongue Suspension System,ORY,R025,56,437
Orthodontic Vibratory Accessory,OYH,R026,57,438
"Intraoral, Dental Foam Protector",PFL,R027,58,439
Diammine Silver Fluoride Dental Hypersensitivity Varnish,PHR,R028,59,440
"Prophy Powder, Airbrush Accessory",PIP,R029,60,441
Sleep Appliances With Patient Monitoring,PLC,R030,61,442
Orthodontic Led Accessory,PLH,R001,62,443
Dental Stereotaxic Instrument,PLV,R002,63,444
External Cleaning Solution,PME,R003,64,445
Orthodontic Software,PNN,R004,65,446
Dental Abutment Design Software For Dental Laboratory,PNP,R005,66,447
"Crown And Bridge, Long-Term Temporary, Resin",POW,R006,67,448
Oral Surgery Tray,PWL,R007,68,449
"Additively Manufactured, Preformed, Resin Denture Tooth",PZY,R008,69,450
Closed Loop Auto Titration Device For Oral Appliances,QCJ,R009,70,451
Composite Resin Warmer,QGO,R010,71,452
Powered Tongue Scraper,QIA,R011,72,453
Plaque Disclosing Agent,QJC,R012,73,454
Indirect Bonding Tray,QJJ,R013,74,455
Intraoral Camera,QJK,R014,75,456
Powered Radiofrequency Toothbrush,QMJ,R015,76,457
Laser Activator For Polymerization,QNF,R016,77,458
Neuromuscular Tongue Muscle Stimulator For The Reduction Of Snoring And Obstructive Sleep Apnea,QNO,R017,78,459
Non-Irrigation Endosseous Dental Implant Drill Bits,QRQ,R018,79,460
Dental Navigation System,QRY,R019,80,461
Over The Counter Electrical Salivary Stimulatory System,QTT,R020,81,462
Intraoral Cooling Device,QUA,R021,82,463
"Solution, Cold Sterilizing",LFE,R022,83,464
Oral Lubricant,ONK,R023,84,465
"Device, Muscle Monitoring",KZM,R024,85,466
"Device, Finger-Sucking",LQX,R025,86,467
"Stimulator, Muscle, Powered, Dental",NUW,R026,87,468
"Laser, Dental, Soft Tissue",NVK,R027,88,469
"Catheter, Drainage, Intraoral/Extraoral",OAJ,R028,89,470
Dental Barriers And Sleeves,PEM,R029,90,471
"Cleanser, Root Canal",KJJ,R030,91,472
"Saliva, Artificial",LFD,R001,92,473
"Solution, Removal, Carries",LMW,R002,93,474
"Material, Dressing, Surgical, Polylactic Acid",LPG,R003,94,475
"Locator, Root Apex",LQY,R004,95,476
"Paste, Injectable For Vocal Cord Augmentation",LTG,R005,96,477
"Device, Electrical Dental Anesthesia",LWM,R006,97,478
"Kit, Test, In Vitro Periodontal",MCL,R007,98,479
"Mouthguard, Prescription",MQC,R008,99,480
"Cord, Retraction",MVL,R009,100,481
"Restoration, Noble Metal",NSJ,R010,101,482
"Dentures, Partial",NSK,R011,102,483
"Dentures, Full",NSL,R012,103,484
"Restoration, Resin",NSM,R013,104,485
"Restoration, Resin, Crown And Bridge",NSN,R014,105,486
"Restoration, Porcelain-Fused-To-Metal",NSO,R015,106,487
"Restoration, Porcelain",NSP,R016,107,488
"Restoration, Base Metal",NSQ,R017,108,489
"Prosthesis, Orthodontic",NSR,R018,109,490
"Denture, Cosmetic Only",NXJ,R019,110,491
"Mouthguard, Over-The-Counter",OBR,R020,111,492
"Mouthguard, Migraine/Tension Headache",OCO,R021,112,493
Oral Wound Dressing,OLR,R022,113,494
Oral Wound Dressing W/Drug And/Or Biologic,OLS,R023,114,495
"Crown And Bridge Material, Resin Based",PKJ,R024,115,496
Cricothyrotomy Kit,OGP,R025,116,497
Tracheostomy Cleaning Tray,OGV,R026,117,498
Tracheostomy Kit,OGW,R027,118,499
"Pillow, Cervical (For Mild Sleep Apnea)",MYB,R028,119,1
"Cement, Ear, Nose And Throat",NEA,R029,120,2
Oral Irrigation Kit,OGT,R030,121,3
"Curette, Biopsy, Bronchoscope (Non-Rigid)",BST,R001,122,4
"Brush, Biopsy, Bronchoscope (Non-Rigid)",BTG,R002,123,5
"Forceps, Biopsy, Bronchoscope (Non-Rigid)",BWH,R003,124,6
"Balloon, Epistaxis",EMX,R004,125,7
"Catheter, Nasopharyngeal",ENW,R005,126,8
"Telescope, Laryngeal-Bronchial",ENZ,R006,127,9
Nasopharyngoscope (Flexible Or Rigid),EOB,R007,128,10
Bronchoscope (Flexible Or Rigid),EOQ,R008,129,11
Esophagoscope (Flexible Or Rigid),EOX,R009,130,12
"Hearing Aid, Group And Auditory Trainer",EPF,R010,131,13
"Pump, Nebulizer, Manual",EPN,R011,132,14
"Splint, Nasal",EPP,R012,133,15
"Source, Carrier, Fiberoptic Light",EQH,R013,134,16
"Bur, Ear, Nose And Throat",EQJ,R014,135,17
Laryngostroboscope,EQL,R015,136,18
"Laryngoscope, Nasopharyngoscope",EQN,R016,137,19
Otoscope,ERA,R017,138,20
"Drill, Surgical, Ent (Electric Or Pneumatic) Including Handpiece",ERL,R018,139,21
"Hearing Aid, Air-Conduction, Prescription",ESD,R019,140,22
"Larynx, Artificial (Battery-Powered)",ESE,R020,141,23
"Polymer, Ent Synthetic-Pife, Silicon Elastomer, Polyethylene, Polyurethane",ESH,R021,142,24
"Tack, Sacculotomy (Cody Tack)",ESX,R022,143,25
"Tube, Shunt, Endolymphatic",ESZ,R023,144,26
"Replacement, Ossicular Prosthesis, Total",ETA,R024,145,27
"Prosthesis, Partial Ossicular Replacement",ETB,R025,146,28
"Mold, Middle-Ear",ETC,R026,147,29
"Tube, Tympanostomy",ETD,R027,148,30
"Unit, Examining/Treatment, Ent",ETF,R028,149,31
"Tube, Toynbee Diagnostic",ETK,R029,150,32
"Gustometer, Sterile",ETM,R030,151,33
"Stimulator, Nerve",ETN,R001,152,34
"Stimulator, Caloric-Water",ETP,R002,153,35
"Adaptor, Short Increment Sensitivity Index (Sisi)",ETR,R003,154,36
"Generator, Electronic Noise (For Audiometric Testing)",ETS,R004,155,37
"Cushion, Earphone (For Audiometric Testing)",ETT,R005,156,38
"Calibrator, Hearing Aid / Earphone And Analysis Systems",ETW,R006,157,39
"Tester, Auditory Impedance",ETY,R007,158,40
"Set, Audiometer Calibration",EWA,R008,159,41
"Chamber, Acoustic (For Audiometric Testing)",EWC,R009,160,42
"Laser, Ent Microsurgical Carbon-Dioxide",EWG,R010,161,43
"Prosthesis, Laryngeal (Taub)",EWL,R011,162,44
Audiometer,EWO,R012,163,45
"Saw, Surgical, Ent (Electric Or Pneumatic)",EWQ,R013,164,46
"Device, Antichoke, Suction",EWT,R014,165,47
"Device, Antichoke, Tongs",EWW,R015,166,48
"Mediastinoscope, Surgical",EWY,R016,167,49
"Prosthesis, Larynx (Stents And Keels)",FWN,R017,168,50
"Prosthesis, Facial, Mandibular Implant",JAZ,R018,169,51
"Claw, Foreign Body, Bronchoscope (Non-Rigid)",JEI,R019,170,52
"Tubing, Instrumentation, Bronchoscope (Brush Sheath A/O Aspirating)",JEJ,R020,171,53
"Forceps, Biopsy, Bronchoscope (Rigid)",JEK,R021,172,54
"Curette, Biopsy, Bronchoscope (Rigid)",JEL,R022,173,55
"Polymer, Ent Synthetic, Porous Polyethylene",JOF,R023,174,56
"Pump, Nebulizer, Electrically Powered",JPW,R024,175,57
"Block, Cutting, Ent, Sterile",JXS,R025,176,58
"Crimper, Wire, Ent, Sterile",JXT,R026,177,59
"Die, Wire Bending, Ent, Sterile",JXW,R027,178,60
"Forceps, Wire Closure, Ent, Sterile",JXX,R028,179,61
"Jig, Piston Cutting, Ent, Sterile",JXY,R029,180,62
"Punch, Gelfoam, Sterile",JXZ,R030,181,63
"Scissors, Wire Cutting, Ent, Sterile",JYA,R001,182,64
"Vise, Ossicular Finger, Sterile",JYB,R002,183,65
"Chisel, Middle-Ear",JYE,R003,184,66
"Clamp, Ossicle Holding",JYF,R004,185,67
"Curette, Ear",JYG,R005,186,68
"Excavator, Ear",JYH,R006,187,69
"Gauge, Mastoid",JYI,R007,188,70
"Gauge, Measuring",JYJ,R008,189,71
"Hook, Microsurgical Ear",JYL,R009,190,72
"Inserter, Myringotomy Tube",JYM,R010,191,73
"Inserter, Sacculotomy Tack",JYN,R011,192,74
"Knife, Ear",JYO,R012,193,75
"Knife, Myringotomy",JYP,R013,194,76
"Loop, Wire",JYQ,R014,195,77
"Nipper, Malleus",JYR,R015,196,78
"Perforator, Ear-Lobe",JYS,R016,197,79
"Pick, Microsurgical Ear",JYT,R017,1,80
"Press, Vein",JYW,R018,2,81
"Punch, Attic",JYX,R019,3,82
"Rasp, Ear",JYY,R020,4,83
"Rod, Measuring Ear",JYZ,R021,5,84
"Rongeur, Mastoid",JZA,R022,6,85
"Scissors, Ear",JZB,R023,7,86
"Searcher, Mastoid",JZC,R024,8,87
"Snare, Ear",JZD,R025,9,88
"Spoon, Ear",JZE,R026,10,89
"Tube, Ear Suction",JZF,R027,11,90
"Knife, Laryngeal",JZY,R028,12,91
"Saw, Laryngeal",JZZ,R029,13,92
"Set, Laryngeal Injection",KAA,R030,14,93
"Trocar, Laryngeal",KAB,R001,15,94
"Tube, Laryngectomy",KAC,R002,16,95
"Elevator, Ent",KAD,R003,17,96
"Forceps, Ent",KAE,R004,18,97
"Microrule, Ent",KAH,R005,19,98
"Mirror, Ent",KAI,R006,20,99
"Mobilizer, Ent",KAJ,R007,21,100
"Probe, Ent",KAK,R008,22,101
"Retractor, Ent",KAL,R009,23,102
"Curette, Ethmoid",KAO,R010,24,103
"Curette, Nasal",KAP,R011,25,104
"Gouge, Nasal, Ent",KAQ,R012,26,105
"Irrigator, Sinus",KAR,R013,27,106
"Knife, Nasal",KAS,R014,28,107
"Perforator, Antrum",KAT,R015,29,108
"Punch, Antrum",KAW,R016,30,109
"Punch, Ethmoid",KAX,R017,31,110
"Punch, Nasal",KAY,R018,32,111
"Rasp, Frontal-Sinus",KAZ,R019,33,112
"Rasp, Nasal",KBA,R020,34,113
"Rongeur, Nasal",KBB,R021,35,114
"Saw, Nasal",KBC,R022,36,115
"Scissors, Nasal",KBD,R023,37,116
"Snare, Nasal",KBE,R024,38,117
"Trephine, Sinus",KBF,R025,39,118
"Trocar, Sinus",KBG,R026,40,119
Adenotome,KBH,R027,41,120
"Bougie, Eustachian",KBI,R028,42,121
"Curette, Adenoid",KBJ,R029,43,122
"Curette, Salpingeal",KBK,R030,44,123
"Depressor, Metal Tongue, Surgical",KBL,R001,45,124
"Dissector, Tonsil",KBM,R002,46,125
"Gag, Mouth",KBN,R003,47,126
"Guillotine, Tonsil",KBO,R004,48,127
"Hook, Tonsil Suturing",KBP,R005,49,128
"Knife, Tonsil",KBQ,R006,50,129
"Needle, Tonsil Suturing",KBR,R007,51,130
"Punch, Adenoid",KBS,R008,52,131
"Punch, Tonsil",KBT,R009,53,132
"Screw, Oral",KBW,R010,54,133
"Screw, Tonsil",KBX,R011,55,134
"Set, Filliform, Eustachian",KBY,R012,56,135
"Snare, Tonsil",KBZ,R013,57,136
Tonsillectome,KCA,R014,58,137
"Tube, Tonsil Suction",KCB,R015,59,138
"Bistoury, Tracheal",KCC,R016,60,139
"Bougie, Esophageal, Ent",KCD,R017,61,140
"Dilator, Esophageal, Ent",KCF,R018,62,141
"Dilator, Tracheal",KCG,R019,63,142
"Hook, Tracheal",KCH,R020,64,143
"Trocar, Tracheal",KCI,R021,65,144
"Applicator, Ent",KCJ,R022,66,145
"Blower, Powder, Ent",KCL,R023,67,146
"Dropper, Ent",KCM,R024,68,147
Ear Wick,KCN,R025,69,148
"Nasal Spray, Ent Delivery",KCO,R026,70,149
"Syringe, Ent",KCP,R027,71,150
"Stimulator, Caloric-Air",KHH,R028,72,151
"Polymer, Ent Synthetic-Polyamide (Mesh Or Foil Material)",KHJ,R029,73,152
"Hearing Aid, Master",KHL,R030,74,153
"Masker, Tinnitus",KLW,R001,75,154
Electroglottograph,KLX,R002,76,155
"Tube, Shunt, Endolymphatic With Valve",KLZ,R003,77,156
"Irrigator, Powered Nasal",KMA,R004,78,157
"Tube, Tympanostomy With Semi-Permeable Membrane",KQL,R005,79,158
"Trocar, Ent",KTE,R006,80,159
"Punch, Ent",KTF,R007,81,160
"Knife, Ent",KTG,R008,82,161
"Device, Anti-Stammering",KTH,R009,83,162
Bronchoscope Accessory,KTI,R010,84,163
"Tube, Aspirating, Bronchoscope, Rigid",KTR,R011,85,164
"Tube, Tympanostomy, Porous Polyethylene",LBL,R012,86,165
Porous Polyethylene Ossicular Replacement,LBM,R013,87,166
"Replacement, Total Ossicular, Prosthesis, Porous, Polyethylene",LBN,R014,88,167
"Replacement, Ossicular (Stapes) Using Absorbable Gelatin Material",LBP,R015,89,168
"Kit, Earmold, Impression",LDG,R016,90,169
Tracheotome,LJW,R017,91,170
"Laser, Microsurgical Argon, For Uses Other Than Otology, Including Laryngology & General Use In Otolaryngology",LMS,R018,92,171
Face Plate Hearing Aid,LRB,R019,93,172
"Instrument, Ent Manual Surgical",LRC,R020,94,173
"Applicator, Ent Drug",LRD,R021,95,174
"Instrument, Prosthesis Modification For Ossicular Replacement Surgery, Sterile",LRE,R022,96,175
"Dilator, Nasal",LWF,R023,97,176
"Hearing Aid, Bone Conduction",LXB,R024,98,177
"Laser, Microsurgical Argon, For Use In Otology",LXR,R025,99,178
"Splint, Intranasal Septal",LYA,R026,100,179
"Apparatus, Visual Reinforcement Audiometric",LYN,R027,101,180
"Device, Assistive Listening",LZI,R028,102,181
"Hearing Aid, Bone Conduction, Implanted",MAH,R029,103,182
"Device, Voice Amplification",MCK,R030,104,183
"System, Vocal Cord Medialization",MIX,R001,105,184
"Tray, Surgical, Ent",MMO,R002,106,185
"Transilluminator, Fiber Optic",MQW,R003,107,186
Bone Particle Collector,MXP,R004,108,187
Tympanometer,NAS,R005,109,188
"Polymer, Ear, Nose And Throat, Synthetic, Absorbable",NHB,R006,110,189
"Hearing Aid, Air Conduction, Transcutaneous System",NIX,R007,111,190
"Trocar, Tracheal, Laryngeal, Sinus, Reprocessed",NLB,R008,112,191
"Forceps, Biopsy, Bronchoscope (Non-Rigid), Reprocessed",NLE,R009,113,192
"Microdebrider, Ent, High Speed, Single Use, Reprocessed",NLY,R010,114,193
"Bur, Ent, Diamond Coated, Single Use, Reprocessed",NLZ,R011,115,194
"Gustometer, Non-Sterile",NNJ,R012,116,195
"Crimper, Wire, Ent, Non-Sterile",NNN,R013,117,196
"Jig, Piston Cutting, Ent, Non-Sterile",NNO,R014,118,197
"Die, Wire Bending, Ent, Non-Sterile",NNP,R015,119,198
"Forceps, Wire Closure, Ent, Non-Sterile",NNQ,R016,120,199
"Block, Cutting, Ent, Non-Sterile",NNR,R017,121,200
"Instrument, Prosthesis Modification For Ossicular Replacement Surgery, Non-Sterile",NNS,R018,122,201
"Punch, Gelfoam, Non-Sterile",NNT,R019,123,202
"Scissors, Wire Cutting, Ent, Non-Sterile",NNU,R020,124,203
"Vise, Ossicular Finger, Non-Sterile",NNV,R021,125,204
"Kit, Test, Olfactory",NRK,R022,126,205
"Ear, Nose, And Throat Surgical Tray",OGR,R023,127,206
Myringotomy Procedure Kit,OGS,R024,128,207
Pierced Ear/Entry Cleaning Tray,OGU,R025,129,208
"Hearing Aid, Air-Conduction With Wireless Technology, Prescription",OSM,R026,130,209
Active Implantable Bone Conduction Hearing System,PFO,R027,131,210
External Upper Esophageal Sphincter (Ues) Compression Device,PKA,R028,132,211
Tympanic Membrane Direct Contact Hearing Aid,PLK,R029,133,212
Eustachian Tube Balloon Dilation Device,PNZ,R030,134,213
"Tester, Auditory Impedance, Exempt",PTO,R001,135,214
"Tympanometer, Exempt",PTP,R002,136,215
"Self-Fitting Air-Conduction Hearing Aid, Prescription",QDD,R003,137,216
"Balloon, Nasal Airway",QGK,R004,138,217
"Splint, Intranasal Septal, Cber Led",QJL,R005,139,218
Transcutaneous Electrical Nerve Stimulator For The Relief Of Congestion,QNU,R006,140,219
Reprocessed Bronchoscope,QNW,R007,141,220
Oropharyngeal Electrical Stimulator,QQG,R008,142,221
Powered Insertion System For A Cochlear Implant Electrode Array,QQH,R009,143,222
"Hearing Aid, Air-Conduction, Over The Counter",QUF,R010,144,223
"Hearing Aid, Air-Conduction With Wireless Technology, Over The Counter",QUG,R011,145,224
"Self-Fitting Air-Conduction Hearing Aid, Over The Counter",QUH,R012,146,225
Combined Acoustic And Electrical External Stimulation Device For The Relief Of Tinnitus,QVN,R013,147,226
Cooperative Powered Surgical Assist Device For Ent Surgery,QXG,R014,148,227
"Cream, Nasal, Topical, Mechanical Allergen Particle Barrier",NUP,R015,149,228
Ear Irrigation Kit,OGQ,R016,150,229
"Ear, Nose, And Throat Stereotaxic Instrument",PGW,R017,151,230
Field Generator Positioning Device,QLV,R018,152,231
"Ultrasound, Sinus",LWI,R019,153,232
Ultrasound Bronchoscope,PSV,R020,154,233
"Device System, Imaging, Tympanic Membrane And Middle Ear",QJG,R021,155,234
Image Management Software For Planning Of Otologic And Neurotologic Procedures,QQE,R022,156,235
Septal Stapler/Absorbable Staples,OLL,R023,157,236
"Stimulator, Transdermal",EPG,R024,158,237
"Polymer, Natural-Absorbable Gelatin Material",ESI,R025,159,238
"Protector, Hearing (Insert)",EWD,R026,160,239
"Protector, Hearing (Circumaural)",EWE,R027,161,240
"Aids, Speech Training For The Hearing Impaired (Ac-Powered And Patient-Contact)",LEZ,R028,162,241
"Aids, Speech Training For The Hearing Impaired (Battery-Operated Or Non-Patient)",LFA,R029,163,242
"Button, Nasal Septal",LFB,R030,164,243
"Hearing Aid, Tactile",LRA,R001,165,244
"Apparatus, Vestibular Analysis",LXV,R002,166,245
"Implant, Cochlear",MCM,R003,167,246
"Implant, Auditory Brainstem",MHE,R004,168,247
"Device, Inflation, Middle Ear",MJV,R005,169,248
"Implant, Hearing, Active, Middle Ear, Partially Implanted",MPV,R006,170,249
"System, Imaging, Fluorescence",MRK,R007,171,250
"Aid, Visual, For Nausea",OAA,R008,172,251
"Implant, Hearing, Active, Middle Ear, Totally Implanted",OAF,R009,173,252
"Electronic Media, Hyperacusis",OAQ,R010,174,253
Drug-Eluting Sinus Stent,OWO,R011,175,254
Cochlear Implant With Combined Electrical Stimulation And Acoustic Amplification,PGQ,R012,176,255
Tympanostomy Tube Delivery Product With Drug,QJA,R013,177,256
Ventilator Tubing And Accessories,QOO,R014,178,257
Respiratory Humidifier For Emergency Use,QOP,R015,179,258
Continuous Ventilator,QOS,R016,180,259
Emergency Ventilator,QOT,R017,181,260
Critical Care Ventilator,QOV,R018,182,261
Multi-Patient Circuit Connector,QOX,R019,183,262
"Analyzer, Body Composition",MNW,R020,184,263
"Monitor, Extracellular Fluid, Lymphedema, Extremity",OBH,R021,185,264
Ultrasonic Body Composition Analyzer,OMV,R022,186,265
"Analyzer, Body Composition, Exempt",PUH,R023,187,266
"Adjunct Monitor, Protein Calorie Malnutrition",QJB,R024,188,267
"Tube, Nasogastric",BSS,R025,189,268
"Selector, Size, Ostomy",EXA,R026,190,269
"Collector, Ostomy",EXB,R027,191,270
"Irrigator, Ostomy",EXD,R028,192,271
"Protector, Ostomy",EXE,R029,193,272
"Bag, Bile Collecting",EXF,R030,194,273
"Bag, Urine Collecting, Ureterostomy",EXG,R001,195,274
"Bag, Urinary, Ileostomy",EXH,R002,196,275
"Device, Paste-On For Incontinence, Sterile",EXI,R003,197,276
"Device, Incontinence, Urosheath Type, Sterile",EXJ,R004,1,277
"Support, Hernia",EXN,R005,2,278
"Cystometer, Electrical Recording",EXQ,R006,3,279
"Urinometer, Mechanical",EXR,R007,4,280
"Urinometer, Electrical",EXS,R008,5,281
"Pill, Radio",EXW,R009,6,282
"Probe, Rectal, Non-Powered",EXX,R010,7,283
Uroflowmeter,EXY,R011,8,284
"Equipment, Photographic, For Physiologic Function Monitor",EXZ,R012,9,285
"Stylet, Ureteral",EYA,R013,10,286
"Catheter, Ureteral, Gastro-Urology",EYB,R014,11,287
"Catheter, Upper Urinary Tract",EYC,R015,12,288
Stirrups,EYD,R016,13,289
"Table, Cysto, Non-Electrical",EYH,R017,14,290
"Adaptor, Ureteral Catheter",EYI,R018,15,291
"Holder, Ureteral Catheter",EYJ,R019,16,292
"Connector, Ureteral Catheter",EYK,R020,17,293
"Garment, Protective, For Incontinence",EYQ,R021,18,294
Ribdam,EYS,R022,19,295
"Sheath, Corrugated Rubber, For Nonindwelling Catheter, Sterile",EYT,R023,20,296
"System, Urine Drainage, Closed, For Nonindwelling Catheter, Sterile",EYZ,R024,21,297
"Stylet For Catheter, Gastro-Urology",EZB,R025,22,298
"Catheter, Coude",EZC,R026,23,299
"Catheter, Straight",EZD,R027,24,300
"Catheter, Retention Type",EZK,R028,25,301
"Catheter, Retention Type, Balloon",EZL,R029,26,302
"Dilator, Esophageal (Metal Olive) Gastro-Urology",EZM,R030,27,303
"Dilator, Catheter, Ureteral",EZN,R001,28,304
Urethrotome,EZO,R002,29,305
"Rod, Colostomy",EZP,R003,30,306
"Pouch, Colostomy",EZQ,R004,31,307
"Cement, Stomal Appliance, Ostomy",EZR,R005,32,308
"Appliance, Colostomy, Disposable",EZS,R006,33,309
"Pacemaker, Bladder",EZT,R007,34,310
"Stimulator, Electrical, Implantable, For Incontinence",EZW,R008,35,311
"Device, Incontinence, Mechanical/Hydraulic",EZY,R009,36,312
"Stent, Ureteral",FAD,R010,37,313
"Prosthesis, Penile",FAE,R011,38,314
"Prosthesis, Testicular",FAF,R012,39,315
"Dilator, Urethral, Mechanical",FAH,R013,40,316
"Cystoscope And Accessories, Flexible/Rigid",FAJ,R014,41,317
Panendoscope (Gastroduodenoscope),FAK,R015,42,318
Panendoscope (Urethroscope),FAL,R016,43,319
"Sigmoidoscope And Accessories, Flexible/Rigid",FAM,R017,44,320
"Sigmoidoscope, Rigid, Electrical",FAN,R018,45,321
Cystometric Gas (Carbon-Dioxide) On Hydraulic Device,FAP,R019,46,322
