OrderName,Description,ItemCode,ItemDescription,PartDescription,SupplierID,EquipmentID,TotalCost,Quantity
"Anesthesia Conduction Kit Monitor, Air Embolism, Ultrasonic","Description for Anesthesia Conduction Kit Monitor, Air Embolism, Ultrasonic",BP0011,Equipment Specific Parts,Dial Unit,413,2328,4172.149293,10
Non-Bronchoscopic Bronchoalveolar Lavage Catheter,Description for Non-Bronchoscopic Bronchoalveolar Lavage Catheter,BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Slider Cover Unit,414,1434,3176.571627,6
Monitor For Opioid Induced Impairment Of Oxygenation,Description for Monitor For Opioid Induced Impairment Of Oxygenation,BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Sypu Lower Case,415,2343,2023.124299,5
Pressure Monitoring (Air/Gas) Kit,Description for Pressure Monitoring (Air/Gas) Kit,BP0011,Equipment Specific Parts,Universal Clamp Complete,416,5087,4429.555654,6
"Monitor, Breathing Frequency Mixer, Breathing Gases, Anesthesia Inhalation","Description for Monitor, Breathing Frequency Mixer, Breathing Gases, Anesthesia Inhalation",BP0011,Equipment Specific Parts,Drive Unit Complete,417,860,4330.893096,3
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Sypu A Module(Battery R/Able Power Pack & Board),418,2546,1859.534596,7
"Ventilator, Continuous, Minimal Ventilatory Support, Facility Use","Description for Ventilator, Continuous, Minimal Ventilatory Support, Facility Use",BP0001,Batteries/ UPS,Rechargeable Battery,419,558,3892.34356,9
"Zimmerman/Norymberski, 17-Ketogenic Steroids","Description for Zimmerman/Norymberski, 17-Ketogenic Steroids",BP0003,Bulbs/ Lamps,Bulb FML2TEX-N (For Eye Treadment Chair),420,3827,924.6609865,1
"Laser, Neodymium:Yag, Pulmonary Surgery","Description for Laser, Neodymium:Yag, Pulmonary Surgery",BP0023,PPM/ Service/Maintenance/ Repair Kits,PPM KIT 10K FOR 10.4 GUI,421,2383,3254.503687,6
Oxygen Administration Kit,Description for Oxygen Administration Kit,BP0004,Cables/ Lead Wires (or any part of it),PHYSIO CONTROL LP9B 3 lead Trunk Cable,422,479,2310.883773,4
"Stylet, Tracheal Tube","Description for Stylet, Tracheal Tube",BP0011,Equipment Specific Parts,Recorder Assy,423,5276,4539.408138,8
"Spirometer, Therapeutic (Incentive) Apparatus, Electronanesthesia","Description for Spirometer, Therapeutic (Incentive) Apparatus, Electronanesthesia",BP0011,Equipment Specific Parts,PHYSIO CONTROL LP9B Printer Roller Assy 21330-000656,424,2623,1735.71368,4
"Transducer, Gas Pressure Transducer, Gas Flow","Description for Transducer, Gas Pressure Transducer, Gas Flow",BP0003,Bulbs/ Lamps,BULB HITACHI HALOGEN LAMP 12V 20W P/N:705-0840,425,4693,590.0898613,7
"Prosthesis, Tracheal, Expandable","Description for Prosthesis, Tracheal, Expandable",BP0001,Batteries/ UPS,BATTERY OMRON 4.8V 1.6 AH,426,4624,4307.151122,7
"Regulator, Pressure, Gas Cylinder Airway, Esophageal (Obturator)","Description for Regulator, Pressure, Gas Cylinder Airway, Esophageal (Obturator)",BP0003,Bulbs/ Lamps,Xenon Lamp 300,427,5153,1281.607982,10
"Device, Fixation, Tracheal Tube","Description for Device, Fixation, Tracheal Tube",BP0003,Bulbs/ Lamps,OL BULB HALOGEN 24V 150W W/O REFLECTOR,428,4700,1495.967632,3
Adjunctive Pain Measurement Device For Anesthesiology,Description for Adjunctive Pain Measurement Device For Anesthesiology,BP0003,Bulbs/ Lamps,Bulb Halogen 12V 100W Reflector,429,4871,3082.140021,5
Glossopharyngeal Anesthesia Kit,Description for Glossopharyngeal Anesthesia Kit,BP0003,Bulbs/ Lamps,Mic Bulb Halogen 12V 100W Reflector,430,2693,3499.758615,5
Arterial Blood Sampling Kit,Description for Arterial Blood Sampling Kit,BP0003,Bulbs/ Lamps,Mic Lamp Regulation Board,431,1558,301.6459305,4
"Condenser, Heat And Moisture (Artificial Nose)","Description for Condenser, Heat And Moisture (Artificial Nose)",BP0003,Bulbs/ Lamps,Halogen Bulb 6V 30W(Carl Zies),432,4256,4605.741079,8
"Analyzer, Oxyhemoglobin Concentration, Blood-Phase, Indwelling","Description for Analyzer, Oxyhemoglobin Concentration, Blood-Phase, Indwelling",BP0011,Equipment Specific Parts,"OLYMPUS CH-120V,30WSB",433,5427,2528.946953,6
"Ventilator, Continuous, Facility Use","Description for Ventilator, Continuous, Facility Use",BP0001,Batteries/ UPS,Battery for physio control Defibrillator LP9B,434,1336,4182.182748,2
"Stethoscope, Esophageal Vaporizer, Anesthesia, Non-Heated","Description for Stethoscope, Esophageal Vaporizer, Anesthesia, Non-Heated",BP0001,Batteries/ UPS,Life Pack Nicd Battery,435,2726,3592.899895,10
Positive Airway Pressure System,Description for Positive Airway Pressure System,BP0001,Batteries/ UPS,Rechargeable Battery,436,2747,3254.329206,10
"Changer, Tube, Endotracheal","Description for Changer, Tube, Endotracheal",BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Main Pcb Assembly,437,597,4450.686995,10
Oxygen Administration Kit,Description for Oxygen Administration Kit,BP0001,Batteries/ UPS,Rechargeable Battery 12V 4.5Ah,438,5386,4144.710327,7
Lung Sound Monitor,Description for Lung Sound Monitor,BP0001,Batteries/ UPS,Battery Ups,439,4574,4259.290828,1
"Device, Heimlich Maneuver Assist","Description for Device, Heimlich Maneuver Assist",BP0007,Diaphragms/ Pumps,Diaphragm (Silicon),440,3544,2390.402615,3
"Valve, Pulmonary","Description for Valve, Pulmonary",BP0015,Keyboards/ Keypads/ Remotes,Keyboard Panel,441,594,3452.601919,9
Adjunctive Pain Measurement Device For Anesthesiology,Description for Adjunctive Pain Measurement Device For Anesthesiology,BP0011,Equipment Specific Parts,Thermal Head,442,5261,4111.683609,5
"Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)","Description for Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)",BP0011,Equipment Specific Parts,Printer Roller Spool,443,4707,3995.372004,4
"Valve, Pulmonary","Description for Valve, Pulmonary",BP0011,Equipment Specific Parts,"Pb,Inverter",444,2376,1459.882076,2
"Tube, Tracheostomy (W/Wo Connector) Dropper, Ether","Description for Tube, Tracheostomy (W/Wo Connector) Dropper, Ether",BP0003,Bulbs/ Lamps,BULB HEINE X.04.88.104 6V BINOCULAR,445,1600,3076.940705,7
"Airway, Nasopharyngeal Tube, Tracheal (W/Wo Connector)","Description for Airway, Nasopharyngeal Tube, Tracheal (W/Wo Connector)",BP0011,Equipment Specific Parts,Infant Humidifier Chamber,446,1166,2068.22779,3
"Analyzer, Gas, Sevoflurane, Gaseous-Phase (Anesthetic Concentration)","Description for Analyzer, Gas, Sevoflurane, Gaseous-Phase (Anesthetic Concentration)",BP0011,Equipment Specific Parts,FISHER & PAYKEL ELECTRICAL ADAPTOR 900MR558,447,733,4846.901617,5
"Oximeter, Reprocessed","Description for Oximeter, Reprocessed",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,FISHER&PAYKEL Hose Heater Wire 900MR751,448,3449,3333.888644,10
"Plethysmograph, Pressure","Description for Plethysmograph, Pressure",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,FISHER & PAYKEL HOSE HEATER WIRE ASSY 900MR510,449,2028,3040.935593,2
Epidural Anesthesia Kit,Description for Epidural Anesthesia Kit,BP0004,Cables/ Lead Wires (or any part of it),VALLEYLAB Cable Bipolar Active,450,1684,2573.183017,4
External Airway,Description for External Airway,BP0004,Cables/ Lead Wires (or any part of it),Cable Bipolar Forceps,451,2987,2535.056606,9
Bronchial Thermoplasty System,Description for Bronchial Thermoplasty System,BP0004,Cables/ Lead Wires (or any part of it),VALLEYLAB ESU HANDSEITCHING-SETCH PENCIL E2100,452,5273,2620.340031,10
"Needle, Emergency Airway","Description for Needle, Emergency Airway",BP0025,Sensors/ Detectors,Finger Probe Spo2 Sensor,453,5603,3761.825477,2
"Apparatus, Nitric Oxide Delivery","Description for Apparatus, Nitric Oxide Delivery",BP0001,Batteries/ UPS,Nicked Rechargeable Battery 16Vdc 2.5Ah,454,2269,1685.917598,7
"Strap, Head, Gas Mask Ventilator, Emergency, Powered (Resuscitator)","Description for Strap, Head, Gas Mask Ventilator, Emergency, Powered (Resuscitator)",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Holder Bulb Assy,455,1028,4844.489558,9
"Zimmerman/Norymberski, 17-Ketogenic Steroids","Description for Zimmerman/Norymberski, 17-Ketogenic Steroids",BP0004,Cables/ Lead Wires (or any part of it),Oxylead Interconnect Cable,456,4143,2856.339906,4
Regional Anesthesia Kit,Description for Regional Anesthesia Kit,BP0025,Sensors/ Detectors,Spo2 Finger Sensor,457,5694,3854.232908,4
Regional Anesthesia Kit,Description for Regional Anesthesia Kit,BP0025,Sensors/ Detectors,"Spo2 Probe,Neonate,Stater Kit",458,1479,1939.885735,1
"Apparatus, Gas-Scavenging","Description for Apparatus, Gas-Scavenging",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,"Hose Connect, Trio",459,4462,1614.434368,5
Retrograde Intubation Set,Description for Retrograde Intubation Set,BP0006,Cuffs,Cuff Infant,460,4153,4601.78453,10
"Calculator, Predicted Values, Pulmonary Function","Description for Calculator, Predicted Values, Pulmonary Function",BP0011,Equipment Specific Parts,NIHON KOHDEN Paper Shaft AAA-20473 (20013),461,2039,1280.442479,1
"Acid, Vanilmandelic, Electrophoretic Separation","Description for Acid, Vanilmandelic, Electrophoretic Separation",BP0011,Equipment Specific Parts,NIHON KOHDEN 6851K Strap 38cm,462,4911,383.3251017,6
"Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen","Description for Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Cover For Battery,463,866,4530.841972,6
"Plethysmograph, Volume","Description for Plethysmograph, Volume",BP0025,Sensors/ Detectors,NOVAMETRIX SPO2 FINGER SENSOR Y,464,2012,3949.039706,5
"Gas, Collecting Vessel","Description for Gas, Collecting Vessel",BP0025,Sensors/ Detectors,"Spo2 Finger Sensor, 8744",465,3380,4277.55321,4
Isocapnic Ventilation Device,Description for Isocapnic Ventilation Device,BP0025,Sensors/ Detectors,Reusable Oxysnap Finger Sensor,466,2380,2005.697185,8
"Airway, Oropharyngeal, Anesthesiology Nebulizer (Direct Patient Interface)","Description for Airway, Oropharyngeal, Anesthesiology Nebulizer (Direct Patient Interface)",BP0025,Sensors/ Detectors,Spo2 Adult Finger Tranducer,467,2855,4869.963528,2
"Device, Positive Pressure Breathing, Intermittent","Description for Device, Positive Pressure Breathing, Intermittent",BP0025,Sensors/ Detectors,Pead Spo 2 Sensor,468,1017,1286.131768,3
"Valve, Switching (Ploss)","Description for Valve, Switching (Ploss)",BP0025,Sensors/ Detectors,SPO2 Finger Sensor Adult,469,1108,3101.98224,5
"Stylet, Tracheal Tube","Description for Stylet, Tracheal Tube",BP0001,Batteries/ UPS,Rechargeable Battery 12V 1.2Ah,470,3955,4066.01901,10
"Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen","Description for Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,"Upper Casing,Clamp&Sheet",471,5540,282.3068223,3
"Calculator, Drug Dose","Description for Calculator, Drug Dose",BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Power Supply Regulator,472,5928,1290.242723,2
"Bottle, Blow Mouthpiece, Breathing","Description for Bottle, Blow Mouthpiece, Breathing",BP0002,Blankets/ Mattresses,RIPPLE MATTRESS INDIVIDUAL CELL,473,618,1855.414589,9
Device Indicating An Exhalation Event,Description for Device Indicating An Exhalation Event,BP0007,Diaphragms/ Pumps,Diapharm,474,5552,2815.832543,10
"Analyzer, Gas, Nitrogen, Gaseous-Phase","Description for Analyzer, Gas, Nitrogen, Gaseous-Phase",BP0011,Equipment Specific Parts,Silencer Bag Assy,475,1992,1453.837429,7
"Mask, Scavenging","Description for Mask, Scavenging",BP0023,PPM/ Service/Maintenance/ Repair Kits,"5K PREVENTIVE MAINTENANCE KIT,VELA",476,5254,1544.438309,10
Emergency Resuscitator,Description for Emergency Resuscitator,BP0025,Sensors/ Detectors,Finger Probe Adult 1.5Ft/Adult Reuble Oximeter Sensor,477,4288,4942.115619,8
Bronchial Thermoplasty System,Description for Bronchial Thermoplasty System,BP0004,Cables/ Lead Wires (or any part of it),Extension Cable 8Ft(2.4M),478,3210,2531.798482,5
Non-Continuous Ventilator For Emergency Use,Description for Non-Continuous Ventilator For Emergency Use,BP0001,Batteries/ UPS,Rechargeable Battery,479,1878,2638.189152,6
"Calculator, Predicted Values, Pulmonary Function","Description for Calculator, Predicted Values, Pulmonary Function",BP0001,Batteries/ UPS,Battery,480,3,2722.414472,7
Nerve Block Tray,Description for Nerve Block Tray,BP0004,Cables/ Lead Wires (or any part of it),PHILIPS Spo2 Sensor Adapter Cable M1940A,481,4273,124.5474151,6
"Algesimeter, Manual","Description for Algesimeter, Manual",BP0001,Batteries/ UPS,Rechargeable Battery 6V 12Ah,482,690,3773.881107,9
"Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia","Description for Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia",BP0003,Bulbs/ Lamps,PHOTHOTHERAPY LAMP BULB ULTRAVIOLET UV-AL 100W/13,483,4553,2812.556799,1
Ventilatory Effort Recorder,Description for Ventilatory Effort Recorder,BP0003,Bulbs/ Lamps,PHOTHOTHERAPY LAMP BULB ULTRAVIOLET UV-B TL 100W/12,484,3455,4826.307819,7
Computer-Assisted Personalized Sedation System,Description for Computer-Assisted Personalized Sedation System,BP0026,Solenoids/ Valves/ Gauges,RP VALVE BODY ASSEMBLY,485,625,1270.119778,4
Pulse Oximeter For Low-Acuity Settings,Description for Pulse Oximeter For Low-Acuity Settings,BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Handle Bracket Set,486,2084,2557.89239,7
"Spirometer, Therapeutic (Incentive) Apparatus, Electronanesthesia","Description for Spirometer, Therapeutic (Incentive) Apparatus, Electronanesthesia",BP0011,Equipment Specific Parts,Compressor,487,3370,1751.779827,2
Airway Suction Kit,Description for Airway Suction Kit,BP0011,Equipment Specific Parts,Air Reservoir,488,3626,3899.877478,10
Tube Tracheostomy And Tube Cuff,Description for Tube Tracheostomy And Tube Cuff,BP0007,Diaphragms/ Pumps,Pumping Set,489,1803,2721.974861,10
"Gas-Machine, Anesthesia Hook, Ether","Description for Gas-Machine, Anesthesia Hook, Ether",BP0013,Heater Elements,Element Heating,490,2010,3734.297616,10
"Continuous, Ventilator, Home Use","Description for Continuous, Ventilator, Home Use",BP0011,Equipment Specific Parts,Sl 6V 20W Toeimeter,491,1277,4695.924044,10
"Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)","Description for Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)",BP0003,Bulbs/ Lamps,Bulb 12 V 30 W,492,2542,3431.398851,2
"Analyzer, Gas, Neon, Gaseous-Phase","Description for Analyzer, Gas, Neon, Gaseous-Phase",BP0004,Cables/ Lead Wires (or any part of it),Patient Extension Cable 8',493,1894,2749.587197,1
"Needle, Conduction, Anesthesia, Reprocessed","Description for Needle, Conduction, Anesthesia, Reprocessed",BP0024,Printed Circuit Boards (PCB; Other than Power Supply),"Pcb,Display",494,2556,764.358365,4
Adjunctive Pain Measurement Device For Anesthesiology,Description for Adjunctive Pain Measurement Device For Anesthesiology,BP0024,Printed Circuit Boards (PCB; Other than Power Supply),"Pcb,Main",495,732,2389.6947,5
"Gaseous-Phase Absorber, Carbon-Dioxide","Description for Gaseous-Phase Absorber, Carbon-Dioxide",BP0011,Equipment Specific Parts,PARI Automizer Upper Section,496,3820,1610.158862,3
"Stethoscope, Esophageal Vaporizer, Anesthesia, Non-Heated","Description for Stethoscope, Esophageal Vaporizer, Anesthesia, Non-Heated",BP0011,Equipment Specific Parts,Nozzle Complete,497,5122,4397.984701,3
"Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge","Description for Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge",BP0006,Cuffs,Cuff Single Tube Child,498,3512,1436.096408,3
Isocapnic Ventilation Device,Description for Isocapnic Ventilation Device,BP0026,Solenoids/ Valves/ Gauges,Terumo Vacuum Valve,499,5344,3681.971857,4
Chromatography Separation/Zimmerman 17-Ketogenic Steroids,Description for Chromatography Separation/Zimmerman 17-Ketogenic Steroids,BP0027,Switchs/ Knobs/Buttons,Sheet Switch COLIN BP8800,500,4607,373.2991929,2
Airway Monitoring System,Description for Airway Monitoring System,BP0001,Batteries/ UPS,Battery 7.2V,501,1635,431.6968606,9
Portable Liquid Oxygen Unit Stand,Description for Portable Liquid Oxygen Unit Stand,BP0001,Batteries/ UPS,IP BATTERY 34508210,502,3666,2457.15174,2
"Gas, Helium","Description for Gas, Helium",BP0003,Bulbs/ Lamps,BULB KEELER OPTHALMOSCOPE BULB 2.8V,503,5531,3261.56518,1
One-Way Air-Leak Valve,Description for One-Way Air-Leak Valve,BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Tube Pressure C/W Rubber,504,4856,1789.41375,3
"Zimmerman (Spectrophotometric), 17-Ketosteroids","Description for Zimmerman (Spectrophotometric), 17-Ketosteroids",BP0001,Batteries/ UPS,Battery 6V,505,2707,4552.013791,1
"Changer, Tube, Endotracheal","Description for Changer, Tube, Endotracheal",BP0001,Batteries/ UPS,BATTERY MINDRAY PM600 LC-R061R3P,506,3239,4339.849414,10
"Prosthesis, Tracheal, Expandable","Description for Prosthesis, Tracheal, Expandable",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Case Bottom,507,2173,3903.257204,3
"Calibrator, Volume, Gas Calibrator, Pressure, Gas","Description for Calibrator, Volume, Gas Calibrator, Pressure, Gas",BP0028,Transducers/ Probes,Probe Aga,508,1339,392.0668237,1
"Tube, Bronchial (W/Wo Connector)","Description for Tube, Bronchial (W/Wo Connector)",BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Power Convertion Board,509,2585,647.708623,9
"Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase","Description for Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase",BP0001,Batteries/ UPS,Rechargeable Battery,510,510,1743.806276,9
"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer","Description for Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",BP0011,Equipment Specific Parts,Manometer With Pointer,511,4999,3743.734336,1
"Oximeter, Ear","Description for Oximeter, Ear",BP0023,PPM/ Service/Maintenance/ Repair Kits,Ppm Kit,512,4434,891.681148,2
"Analyzer, Nitrogen Dioxide","Description for Analyzer, Nitrogen Dioxide",BP0028,Transducers/ Probes,O2 STAINLESS STEEL OXY PROBE REMOTE O2,513,4565,3444.576829,5
Positive Airway Pressure System,Description for Positive Airway Pressure System,BP0010,Electronic Components,Patient Relay,514,5254,2548.382489,7
"Tube, Tracheostomy (W/Wo Connector) Dropper, Ether","Description for Tube, Tracheostomy (W/Wo Connector) Dropper, Ether",BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Mother Board Unit,515,1707,4336.005391,8
"Continuous Ventilator, Minimal Ventilatory Support","Description for Continuous Ventilator, Minimal Ventilatory Support",BP0001,Batteries/ UPS,Battery 9.6V 1100mAH w/out connector,516,1734,1758.052824,4
"Analyzer, Gas, Desflurane, Gaseous-Phase (Anesthetic Concentration)","Description for Analyzer, Gas, Desflurane, Gaseous-Phase (Anesthetic Concentration)",BP0001,Batteries/ UPS,Battery for Entral feeding,517,1271,3285.395638,7
Oral Airway Assist,Description for Oral Airway Assist,BP0010,Electronic Components,Relay Solid State,518,3476,804.6467781,5
"Conduction, Anesthetic Catheter","Description for Conduction, Anesthetic Catheter",BP0004,Cables/ Lead Wires (or any part of it),Patient Cable,519,5752,2338.768603,10
"Device, Positive Pressure Breathing, Intermittent","Description for Device, Positive Pressure Breathing, Intermittent",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,DATASCOPE BEZEL FRONT HIGHT ASSEMBLY 0380-00-0359-04,520,922,3859.563011,7
"Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin","Description for Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin",BP0004,Cables/ Lead Wires (or any part of it),Spo2 Adaptor Cable,521,2661,180.6731433,3
Portable Liquid Oxygen Unit Stand,Description for Portable Liquid Oxygen Unit Stand,BP0012,Filters,"AMEDA, 7 Shut Off Filter",522,4704,4075.609412,10
Monitor For Opioid Induced Impairment Of Oxygenation,Description for Monitor For Opioid Induced Impairment Of Oxygenation,BP0004,Cables/ Lead Wires (or any part of it),Extension Cable,523,4104,1955.012285,9
"Forceps, Tube Introduction","Description for Forceps, Tube Introduction",BP0004,Cables/ Lead Wires (or any part of it),Connector Cable (Db-9/Oxysnap),524,2132,4896.262353,5
"Mask, Oxygen, Low Concentration, Venturi Mask, Oxygen","Description for Mask, Oxygen, Low Concentration, Venturi Mask, Oxygen",BP0023,PPM/ Service/Maintenance/ Repair Kits,SECHRIST Ppm Service Kit,525,4351,2495.681466,9
"Needle, Spinal, Short Term, Reprocessed","Description for Needle, Spinal, Short Term, Reprocessed",BP0017,Membranes,Membrane Sheet,526,4245,3642.23514,7
"Tube, Tracheostomy (W/Wo Connector) Dropper, Ether","Description for Tube, Tracheostomy (W/Wo Connector) Dropper, Ether",BP0003,Bulbs/ Lamps,Bulb OSRAM 5001BA15s 6V 10W,527,5847,4896.873516,6
"Conserver, Oxygen","Description for Conserver, Oxygen",BP0003,Bulbs/ Lamps,Bulb 24V 40W,528,1882,1375.833747,6
"Strap, Head, Gas Mask Ventilator, Emergency, Powered (Resuscitator)","Description for Strap, Head, Gas Mask Ventilator, Emergency, Powered (Resuscitator)",BP0003,Bulbs/ Lamps,Bulb Halogen 50W 24V,529,2098,2845.518963,7
"Monitor, Lung Water Measurement","Description for Monitor, Lung Water Measurement",BP0003,Bulbs/ Lamps,Bulb 24v 100w,530,5558,3575.371097,10
"Circulator, Breathing-Circuit Circuit, Breathing (W Connector, Adaptor, Y Piece)","Description for Circulator, Breathing-Circuit Circuit, Breathing (W Connector, Adaptor, Y Piece)",BP0011,Equipment Specific Parts,Ic,531,5819,176.8038188,5
"Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen","Description for Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen",BP0011,Equipment Specific Parts,AIR SHIELD Grommet Access,532,3431,2644.738237,5
"Mask, Ventilator, Non-Continuous, Reprocessed","Description for Mask, Ventilator, Non-Continuous, Reprocessed",BP0011,Equipment Specific Parts,AIR SHIELD Iris Sleeve (Pack Of 4),533,4666,1158.561102,8
"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer","Description for Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",BP0011,Equipment Specific Parts,Htc Protection Sheild For Hps 101,534,5951,213.2811234,5
Ventilatory Effort Recorder,Description for Ventilatory Effort Recorder,BP0027,Switchs/ Knobs/Buttons,MEDELA DOUBLE ROCKER SWITCH MADELA,535,3568,4680.682525,2
"Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen","Description for Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen",BP0016,Mechanical Components,MEDELA SQUARE NUT MADELA,536,46,3152.147703,1
"Continuous, Ventilator, Home Use","Description for Continuous, Ventilator, Home Use",BP0020,Paddles/ Wheels/ Castors/Brakes,CASTOR WHEEL WITH SCREW HEAD 2,537,1112,3705.630301,6
"Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)","Description for Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)",BP0028,Transducers/ Probes,CARDIOTOCOGRAPH 1.5Mhz Ultrasound Transducer (Yellow),538,2647,244.8982096,10
Electrical Tumor Treatment Fields,Description for Electrical Tumor Treatment Fields,BP0018,Motors/ Micromotors/ Carbon brushes,Flow motor,1,5239,1568.19624,1
"Airway, Nasopharyngeal Tube, Tracheal (W/Wo Connector)","Description for Airway, Nasopharyngeal Tube, Tracheal (W/Wo Connector)",BP0025,Sensors/ Detectors,O2 Sensor OOM202,2,1996,4432.183883,1
"Cart, Emergency, Cardiopulmonary (Excluding Equipment)","Description for Cart, Emergency, Cardiopulmonary (Excluding Equipment)",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Door 22MM Bubble C.Holder 4008SV10,3,4648,2855.767319,2
Intraoral Pressure Gradient Device,Description for Intraoral Pressure Gradient Device,BP0001,Batteries/ UPS,Battery Pack Fot Tec 7731K,4,2305,343.9235815,1
"Valve, Pulmonary","Description for Valve, Pulmonary",BP0025,Sensors/ Detectors,DATEX OHMEDA Spo2 FINGER SENSOR Trusignal (TS-F-D),5,3026,2185.08134,9
"Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)","Description for Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)",BP0025,Sensors/ Detectors,FLOW TRANDUCER GE,6,1376,4442.350208,2
"Monitor, Carbon-Dioxide, Cutaneous","Description for Monitor, Carbon-Dioxide, Cutaneous",BP0003,Bulbs/ Lamps,Bulb 12v 30w,7,2026,494.6773029,9
Software Option For Anesthesia Gas Machine To Achieve And Maintain Targeted End Tidal Oxygen And Anesthetic Agents,Description for Software Option For Anesthesia Gas Machine To Achieve And Maintain Targeted End Tidal Oxygen And Anesthetic Agents,BP0001,Batteries/ UPS,Battery AA (Alkaline),8,5695,3029.270739,7
Electrical Tumor Treatment Fields,Description for Electrical Tumor Treatment Fields,BP0011,Equipment Specific Parts,Label Remover,9,1966,3519.931471,5
Anesthesia Cabinet,Description for Anesthesia Cabinet,BP0003,Bulbs/ Lamps,Bulb 12v 100w (64623 HLX),10,5986,2868.871188,7
"Conduction, Anesthetic Catheter","Description for Conduction, Anesthetic Catheter",BP0027,Switchs/ Knobs/Buttons,Read Switch,11,2813,196.2061973,1
"Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia","Description for Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia",BP0011,Equipment Specific Parts,STP Foam Cleaner,12,3786,1294.740254,7
"Analyzer, Gas, Neon, Gaseous-Phase","Description for Analyzer, Gas, Neon, Gaseous-Phase",BP0011,Equipment Specific Parts,Ambersil - Label Remover,13,2473,600.5446647,9
"Ventilator, Continuous, Facility Use","Description for Ventilator, Continuous, Facility Use",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Swive Air Hose,14,4471,165.5008015,4
"Protector, Dental Stool","Description for Protector, Dental Stool",BP0018,Motors/ Micromotors/ Carbon brushes,Fresenius 4008S Motor Assy Degassing Complete,15,4798,4203.036733,2
Diaphragmatic/Phrenic Nerve Laparoscopically-Implanted Stimulator,Description for Diaphragmatic/Phrenic Nerve Laparoscopically-Implanted Stimulator,BP0003,Bulbs/ Lamps,PROJECTION LAMP 24V 250W OSRAM,16,3964,3290.884091,1
"Set, Tubing And Support, Ventilator (W Harness)","Description for Set, Tubing And Support, Ventilator (W Harness)",BP0003,Bulbs/ Lamps,Bulb 12V 50W,17,3389,1142.865259,9
