ItemCode,ItemDescription,PartDescription,IsExpiryDateRequired,MinPrice,MaxPrice,Brand,Status,ExpiryAgeMonths,CurrentStock,SupplierID
BP0003,Bulbs/ Lamps,Bulb PENLON 55092,No,50.00,57.50,Penlon,Active,0.00,6,227
BP0011,Equipment Specific Parts,Pot Meter,No,105.00,120.75,Jh-Enraf,Active,0.00,0,228
BP0011,Equipment Specific Parts,"Strap,250X3Cm",No,1980.00,2277.00,Jh-Enraf,Active,0.00,0,229
BP0003,Bulbs/ Lamps,MADELA LAMP PHOTOTHERAPY 18w/71,No,25.00,28.75,Osram,Active,0.00,47,230
BP0003,Bulbs/ Lamps,BULB KILLER VISTA 2.8V 6 1011-P-7042,No,95.00,109.25,Keeler,Active,0.00,1,231
BP0003,Bulbs/ Lamps,Bulb 2.5V,No,175.00,201.25,Keeler,Active,0.00,0,232
BP0018,Motors/ Micromotors/ Carbon brushes,Fresenius 4008S Stepper Motor,No,3150.00,3622.50,Fresenius,Active,0.00,0,233
BP0004,Cables/ Lead Wires (or any part of it),Retractile Cable,No,105.00,120.75,Huntleigh,Active,0.00,0,234
BP0007,Diaphragms/ Pumps,Fresenius 4008S Concentrate Pump Assy Complete,No,2080.00,2392.00,Fresenius,Active,0.00,0,235
BP0007,Diaphragms/ Pumps,Fresenius 4008S Gear Pump Head,No,1180.00,1357.00,Fresenius,Active,0.00,1,236
BP0001,Batteries/ UPS,Rechargeable Battery 4.6V 700Mah,No,80.00,92.00,Suzuken,Active,0.00,0,237
BP0001,Batteries/ UPS,SUZUKENZ 108 RECHARGEABLE BATTERY 12V 1200MAH,No,480.00,552.00,Suzuken,Active,0.00,10,238
BP0021,Power Cords/ Adaptors (or any part of it),3 Pin Plug Adaptor,No,6.90,7.94,Erbe,Active,0.00,0,239
BP0004,Cables/ Lead Wires (or any part of it),Ecg Cable,No,600.00,690.00,Nihon Kohden,Active,0.00,0,240
BP0004,Cables/ Lead Wires (or any part of it),PHILIPS LEAD 5 LEAD ECG CABLE M1633A,No,351.00,403.65,Hewlett Packard,Active,0.00,0,241
BP0004,Cables/ Lead Wires (or any part of it),Adaptor Cable 12Pin to 9Pin,No,1200.00,1380.00,Hewlett Packard,Active,0.00,0,242
BP0004,Cables/ Lead Wires (or any part of it),Patient Cable,No,350.00,402.50,Nihon Kohden,Active,0.00,0,243
BP0004,Cables/ Lead Wires (or any part of it),Chest Electrode Paediatric Complete,No,36.30,41.75,Nihon Kohden,Active,0.00,0,244
BP0004,Cables/ Lead Wires (or any part of it),"PHILIPS 3 Lead Trunk Cable, M1510A",No,125.00,143.75,Hewlett Packard,Active,0.00,4,245
BP0004,Cables/ Lead Wires (or any part of it),PHILIPS 3 LEAD ECG CALBLE M1613A,No,240.00,276.00,Hewlett Packard,Active,0.00,2,246
BP0004,Cables/ Lead Wires (or any part of it),EXTENSION PHILIPS 1900B,No,630.00,724.50,Hewlett Packard,Active,0.00,3,247
BP0004,Cables/ Lead Wires (or any part of it),3 Lead Cable,No,375.00,431.25,Hewlett Packard,Active,0.00,0,248
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Air Hose 3.5m CRITIKON,No,62.00,71.30,Colin,Active,0.00,0,249
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Tube L Mini,No,58.40,67.16,Colin,Active,0.00,0,250
BP0003,Bulbs/ Lamps,"Bulb, 6.2V0.5A",No,699.00,803.85,Clements,Active,0.00,0,251
BP0001,Batteries/ UPS,Rechargeable Battery,No,163.00,187.45,Nihon Kohden,Active,0.00,0,252
BP0001,Batteries/ UPS,NIHON KOHDEN TEC-7100K BATTERY,No,150.00,172.50,Nihon Kohden,Active,0.00,3,253
BP0001,Batteries/ UPS,Rechargeable Battery Lcs-2912Nk,No,920.00,1058.00,Nihon Kohden,Active,0.00,11,254
BP0001,Batteries/ UPS,Rechargeable Battery 12V 1.9Ah,No,450.00,517.50,Nihon Kohden,Active,0.00,0,255
BP0001,Batteries/ UPS,NIHON KOHDEN 2012NK BATTERY,No,150.00,172.50,Nihon Kohden,Active,0.00,2,256
BP0001,Batteries/ UPS,Battery 12V 3700mAH,No,1100.00,1265.00,Nihon Kohden,Active,0.00,0,257
BP0001,Batteries/ UPS,Battery Rechargeable W/Connector 7.2V,No,160.00,184.00,B.Braun,Active,0.00,25,258
BP0001,Batteries/ UPS,Battery,No,150.00,172.50,B.Braun,Active,0.00,0,259
BP0001,Batteries/ UPS,Rechargeable Battery 7.2V 1.8Ah,No,159.00,182.85,B.Braun,Active,0.00,0,260
BP0001,Batteries/ UPS,Battery Ifusomat Bbraun FM,No,160.00,184.00,B.Braun,Active,0.00,9,261
BP0001,Batteries/ UPS,Rechargeable Battery 9.63V 1.5Ah,No,120.00,138.00,Top,Active,0.00,1,262
BP0001,Batteries/ UPS,Rechargeable Battery D84:D8712V 900MahTOP 3100 Battery,No,150.00,172.50,Top,Active,0.00,25,263
BP0001,Batteries/ UPS,Rechargeable Battery,No,145.00,166.75,Top,Active,0.00,0,264
BP0001,Batteries/ UPS,RECHARGEABLE BATTERY TOP 5300 12V 700MAH,No,217.00,249.55,Top,Active,0.00,49,265
BP0025,Sensors/ Detectors,Drop Sensor T31 (88t),No,350.00,402.50,Top,Active,0.00,0,266
BP0001,Batteries/ UPS,DRAGER OXYLOG 2000 BATTERY,No,100.00,115.00,Terumo,Active,0.00,1,267
BP0001,Batteries/ UPS,Battery,No,150.00,172.50,Terumo,Active,0.00,0,268
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Corner Bracket,No,380.00,437.00,Ameda,Active,0.00,0,269
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Corner Bracket,No,46.00,52.90,Ameda,Active,0.00,23,270
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,AMEDA Tube Grommet,No,90.00,103.50,Ameda,Active,0.00,4,271
BP0025,Sensors/ Detectors,Drop Sensor Complete Infusomat,No,390.00,448.50,B.Braun,Active,0.00,0,272
BP0025,Sensors/ Detectors,"Infusomat, Drop Sensor Complete",No,380.00,437.00,B.Braun,Active,0.00,4,273
BP0025,Sensors/ Detectors,B.BRAUN Drop Sensor Complete 34502629,No,377.00,433.55,B.Braun,Active,0.00,8,274
BP0013,Heater Elements,Element Replacement Kit,No,132.00,151.80,Fisher & Paykel,Active,0.00,0,275
BP0013,Heater Elements,Heater Wire,No,400.00,460.00,Fisher & Paykel,Active,0.00,0,276
BP0026,Solenoids/ Valves/ Gauges,Solenoid Valve - Dual Port,No,179.00,205.85,Fresenius,Active,0.00,4,277
BP0026,Solenoids/ Valves/ Gauges,Fresenius 4008S Pressure reducing valve,No,348.11,400.33,Fresenius,Active,0.00,1,278
BP0012,Filters,AIR SHIELD FILTER PACK OF 4 C400 & 450,No,46.85,53.88,Air Shields,Active,0.00,21,279
BP0012,Filters,Air Filter (Pack Of 4),No,225.00,258.75,Air Shields,Active,0.00,0,280
BP0012,Filters,Bacterial Filter,No,248.00,285.20,Air Shields,Active,0.00,0,281
BP0003,Bulbs/ Lamps,BULB HALOGEN 12V 50V (LEICA),No,320.00,368.00,Leica,Active,0.00,3,282
BP0003,Bulbs/ Lamps,Halogen Bulb 12V 50W,No,290.00,333.50,Leica,Active,0.00,0,283
BP0003,Bulbs/ Lamps,BULB OSRAM 64261 12V 30W,No,60.00,69.00,Leica,Active,0.00,17,284
BP0009,Electrodes,Potassium Electrode,Yes,721.60,829.84,Chiron,Active,3.00,0,285
BP0009,Electrodes,"Electrode,Refill Cassette",Yes,1306.00,1501.90,Chiron,Active,3.00,0,286
BP0009,Electrodes,"Electrode,Po2",Yes,1724.00,1982.60,Chiron,Active,3.00,0,287
BP0009,Electrodes,"Electrode,Ph",Yes,600.00,690.00,Chiron,Active,3.00,0,288
BP0003,Bulbs/ Lamps,"BULB OLYMPUS 6V,10WGE (AX2017)",No,40.00,46.00,Olympus,Active,0.00,11,289
BP0003,Bulbs/ Lamps,Bulb 6V 20W,No,35.00,40.25,Olympus,Active,0.00,46,290
BP0003,Bulbs/ Lamps,Bulb 6V 30W (Olympus),No,35.00,40.25,Olympus,Active,0.00,0,291
BP0001,Batteries/ UPS,Battery AAA (Alkaline),No,1.60,1.84,Energizer,Active,0.00,1,292
BP0001,Batteries/ UPS,Battery C (Alkaline),No,3.70,4.26,Energizer,Active,0.00,175,293
BP0001,Batteries/ UPS,Battery D (Alkaline),No,4.10,4.72,Energizer,Active,0.00,49,294
BP0001,Batteries/ UPS,Battery 9V (Alkaline),No,6.25,7.19,Energizer,Active,0.00,26,295
BP0001,Batteries/ UPS,CRITIKON 8100 Battery,No,120.00,138.00,Critikon,Active,0.00,4,296
BP0001,Batteries/ UPS,Battery 6V,No,80.00,92.00,Critikon,Active,0.00,0,297
BP0001,Batteries/ UPS,Rechargeable Battery 6V,No,80.00,92.00,Welch Allyn,Active,0.00,0,298
BP0001,Batteries/ UPS,Battery Rech. 3.6V 1.8Ah,No,580.00,667.00,Welch Allyn,Active,0.00,1,299
BP0001,Batteries/ UPS,Rechargeable Battery 3.5V,No,235.00,270.25,Welch Allyn,Active,0.00,0,300
BP0003,Bulbs/ Lamps,Halogen Bulb 12V 100W 6834 FO,No,30.00,34.50,Siemens,Active,0.00,12,301
BP0003,Bulbs/ Lamps,"Bulb,Collimator,12v 100w (Philips 64625) 50Hr",No,7.80,8.97,Siemens,Active,0.00,14,302
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Sample & Reagent Tube Kit,No,940.00,1081.00,Chiron,Active,0.00,0,303
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Pre-Heater Tubing Kit,No,800.00,920.00,Chiron,Active,0.00,0,304
BP0025,Sensors/ Detectors,OXIBAND ADULT / NEONATAL SENSOR,No,500.00,575.00,Nellcor,Active,0.00,1,305
BP0025,Sensors/ Detectors,Oxi-Clip Finger Sensor,No,1520.00,1748.00,Invivo,Active,0.00,0,306
BP0025,Sensors/ Detectors,GRASEBY SOLARIS SPO2 FINGER SENSOR ADULT,No,600.00,690.00,Palco Lab,Active,0.00,2,307
BP0004,Cables/ Lead Wires (or any part of it),"Ecg 5 Lead , Grabber Set Iec",No,350.00,402.50,Siemens,Active,0.00,0,308
BP0004,Cables/ Lead Wires (or any part of it),DATEX OHMEDA 3 LEAD WIRE,No,337.00,387.55,Siemens,Active,0.00,3,309
BP0004,Cables/ Lead Wires (or any part of it),3 LEAD WIRE,No,610.00,701.50,Siemens,Active,0.00,0,310
BP0004,Cables/ Lead Wires (or any part of it),Spo2 Extension Cable,No,800.00,920.00,Siemens,Active,0.00,0,311
BP0004,Cables/ Lead Wires (or any part of it),NELLCOR SPO2 Extension Cable Sensor DEC-8,No,138.00,158.70,Nellcor,Active,0.00,6,312
BP0004,Cables/ Lead Wires (or any part of it),Extension Cable Symphony,No,740.00,851.00,Nellcor,Active,0.00,0,313
BP0004,Cables/ Lead Wires (or any part of it),NELLCOR SPO2 Extension Cable Original DOC 10,No,138.00,158.70,Nellcor,Active,0.00,4,314
BP0025,Sensors/ Detectors,"NELLCOR SPO2 FINGER SENSOR Pediatric Spot-Check, Dura-Y Sensor",No,500.00,575.00,Nellcor,Active,0.00,1,315
BP0025,Sensors/ Detectors,NELLCOR SPO2 FINGER CLIP SPO2 SENSOR DS100A,No,210.00,241.50,Nellcor,Active,0.00,44,316
BP0025,Sensors/ Detectors,Dura-Y Multi Site Sensor,No,630.00,724.50,Nellcor,Active,0.00,0,317
BP0025,Sensors/ Detectors,Oxygen Sensor Adult/Neonatal Oxiband,No,500.00,575.00,Nellcor,Active,0.00,0,318
BP0003,Bulbs/ Lamps,Bulb WELCH ALLYN 08500,No,55.00,63.25,Welch Allyn,Active,0.00,3,319
BP0003,Bulbs/ Lamps,Bulb,No,250.00,287.50,Welch Allyn,Active,0.00,0,320
BP0003,Bulbs/ Lamps,Bulb WELCH ALLYN 03000,No,55.00,63.25,Welch Allyn,Active,0.00,8,321
BP0003,Bulbs/ Lamps,Bulb WELCH ALLYN 03400,No,52.00,59.80,Welch Allyn,Active,0.00,15,322
BP0003,Bulbs/ Lamps,Bulb WELCH ALLYN 04400,No,55.00,63.25,Welch Allyn,Active,0.00,1,323
BP0003,Bulbs/ Lamps,Lamp For Mfi/Vdx,No,255.00,293.25,Welch Allyn,Active,0.00,0,324
BP0003,Bulbs/ Lamps,Bulb Halogen 22.8V 50W,No,65.00,74.75,Heraeus,Active,0.00,0,325
BP0003,Bulbs/ Lamps,BULB HANAULUX BLUE 22.8V 90W 130/90 NR.56053198 (HERAEUS),No,200.00,230.00,Hanaulux,Active,0.00,8,326
BP0003,Bulbs/ Lamps,BULB PHILIPS 409843 TYPE 6550 15V 150W 409843,No,27.00,31.05,,Active,0.00,1,327
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Oxytip Interconnect/Universal,No,10.00,11.50,,Active,0.00,0,328
BP0001,Batteries/ UPS,Rechargeable Battery 8.4V 300Ah,No,280.00,322.00,,Active,0.00,0,329
BP0001,Batteries/ UPS,AIR SHIELD C100 Rechargeable Battery 6V 2.5Ah,No,80.00,92.00,,Active,0.00,5,330
BP0001,Batteries/ UPS,Battery 12V,No,300.00,345.00,,Active,0.00,0,331
BP0001,Batteries/ UPS,Rechargeable Battery 12V,No,120.00,138.00,,Active,0.00,0,332
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,ESHMAN TAPERED CONNECTOR,No,7.50,8.63,,Active,0.00,7,333
BP0004,Cables/ Lead Wires (or any part of it),300 Series 3 Lead Trunk Cable 3M/10',No,500.00,575.00,,Active,0.00,0,334
BP0004,Cables/ Lead Wires (or any part of it),DATEX OHMEDA Spo2 Extension Cable (OXY-OL3),No,150.00,172.50,,Active,0.00,3,335
BP0004,Cables/ Lead Wires (or any part of it),ECG Trunk Cable,No,190.00,218.50,,Active,0.00,0,336
BP0004,Cables/ Lead Wires (or any part of it),Oxytip Interconnect Cable,No,800.00,920.00,,Active,0.00,0,337
BP0004,Cables/ Lead Wires (or any part of it),SPO2 Extension Cable,No,135.00,155.25,,Active,0.00,0,338
BP0004,Cables/ Lead Wires (or any part of it),EXTENSION CABLE TS-M3,No,290.00,333.50,,Active,0.00,0,339
BP0004,Cables/ Lead Wires (or any part of it),EXTENSION CABLE TS-N3,No,352.00,404.80,,Active,0.00,2,340
BP0004,Cables/ Lead Wires (or any part of it),NOVAMETRIX SPO2 CABLE ADAPTOR NOR,No,360.00,414.00,,Active,0.00,5,341
BP0004,Cables/ Lead Wires (or any part of it),3 Lead Wire Set,No,190.00,218.50,,Active,0.00,0,342
BP0004,Cables/ Lead Wires (or any part of it),SPACELAB 3 Lead Ecg Trunk Cable,No,345.00,396.75,,Active,0.00,3,343
BP0004,Cables/ Lead Wires (or any part of it),3 Lead Ecg Shilded Patient Cable For Pcms Only,No,90.00,103.50,,Active,0.00,0,344
BP0004,Cables/ Lead Wires (or any part of it),5 Lead Ecg Shilded Patient Cable For 90600/90700,No,300.00,345.00,,Active,0.00,0,345
BP0004,Cables/ Lead Wires (or any part of it),Ecg Cable,No,300.00,345.00,,Active,0.00,0,346
BP0004,Cables/ Lead Wires (or any part of it),SPO2 Extension Cable,No,180.00,207.00,,Active,0.00,0,347
BP0025,Sensors/ Detectors,Oxygen Sensor C-1,Yes,145.00,166.75,,Active,6.00,0,348
BP0025,Sensors/ Detectors,Flow Sensor Q2 W/Eprom,No,3750.00,4312.50,,Active,0.00,1,349
BP0025,Sensors/ Detectors,Exhalation Sensor (Q3/T3),No,3400.00,3910.00,,Active,0.00,0,350
BP0025,Sensors/ Detectors,DATEX OHMEDA FLOW SENSOR 1503-3856-000 (PENDEK),No,388.00,446.20,,Active,0.00,7,351
BP0025,Sensors/ Detectors,Skin Temperature Probe,No,321.00,369.15,,Active,0.00,0,352
BP0025,Sensors/ Detectors,Oxytip Finger Sensor,No,315.00,362.25,,Active,0.00,0,353
BP0025,Sensors/ Detectors,Spo2 Finger Sensor,No,645.00,741.75,,Active,0.00,0,354
BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Retrokit Power,No,520.00,598.00,,Active,0.00,0,355
BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Power PCB Assembly,No,1267.00,1457.05,,Active,0.00,0,356
BP0025,Sensors/ Detectors,Spo2 Reusable Finger Sensor Oxy-F4-H,No,1250.00,1437.50,,Active,0.00,0,357
BP0023,PPM/ Service/Maintenance/ Repair Kits,PM KIT As/5,No,1000.00,1150.00,,Active,0.00,0,358
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Display Board Pcb,No,1000.00,1150.00,,Active,0.00,0,359
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Control PCB Assembly,No,1267.00,1457.05,,Active,0.00,0,360
BP0018,Motors/ Micromotors/ Carbon brushes,Fan Motor,No,1800.00,2070.00,,Active,0.00,0,361
BP0025,Sensors/ Detectors,NOVAMETRIX SPO2 PROBE FINGER ADULT,No,950.00,1092.50,,Active,0.00,0,362
BP0011,Equipment Specific Parts,Suction Jar Shatterproof Plastic,No,1350.00,1552.50,,Active,0.00,0,363
BP0011,Equipment Specific Parts,CLEMENT Sp BLUE Inlet Nipple,No,35.00,40.25,,Active,0.00,3,364
BP0028,Transducers/ Probes,Bd'S Pressure Tranducer P23Xl-1,No,3750.00,4312.50,,Active,0.00,0,365
BP0028,Transducers/ Probes,ARGON (BD) Pressure Transducer P23xl,No,1500.00,1725.00,,Active,0.00,1,366
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,ESHMAN SPARE LID FOR RECEIVED JAR,No,480.00,552.00,,Active,0.00,0,367
BP0025,Sensors/ Detectors,DYNAL Skin Temp Probe,No,300.00,345.00,ATOM,Active,0.00,0,368
BP0025,Sensors/ Detectors,PHILIPS SPO2 FINGER SENSOR CHILE M1193A,No,650.00,747.50,AGILENT,Active,0.00,2,369
BP0004,Cables/ Lead Wires (or any part of it),8-12 Pin Spo2 Sensor Adaptor Cable,No,250.00,287.50,AGILENT,Active,0.00,0,370
BP0004,Cables/ Lead Wires (or any part of it),3-Lead Ecg Patient Trunk Cable Aam,No,390.00,448.50,AGILENT,Active,0.00,0,371
BP0004,Cables/ Lead Wires (or any part of it),PHILIPS 3 LEAD ECG MINI CLIP M1608,No,208.00,239.20,AGILENT,Active,0.00,1,372
BP0006,Cuffs,Cuff Cylindrical 18 Ats,No,460.00,529.00,Zimmer,Active,0.00,2,373
BP0006,Cuffs,Cuff Cylindrical 30 Ats,No,460.00,529.00,Zimmer,Active,0.00,3,374
BP0023,PPM/ Service/Maintenance/ Repair Kits,Maintenance Kit 3000H,No,1163.00,1337.45,SIEMENS,Active,0.00,0,375
BP0023,PPM/ Service/Maintenance/ Repair Kits,Maintenance Kit 5000H,No,990.00,1138.50,SIEMENS,Active,0.00,0,376
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Air Module,No,10500.00,12075.00,SIEMENS,Active,0.00,0,377
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,CONNECTOR SPRILOG SENSOR,No,104.38,120.04,Draeger,Active,0.00,13,378
BP0006,Cuffs,Adult Cuff,No,79.00,90.85,CRITIKON,Active,0.00,0,379
BP0006,Cuffs,Small Adult Cuff,No,166.90,191.94,CRITIKON,Active,0.00,0,380
BP0006,Cuffs,Child Cuff,No,54.00,62.10,CRITIKON,Active,0.00,3,381
BP0019,O-Rings/ Belts/ Seals/ Gaskets/ Washers,O-Ring,No,11.00,12.65,Ulco,Active,0.00,2,382
BP0019,O-Rings/ Belts/ Seals/ Gaskets/ Washers,Seal/Bodok,No,8.00,9.20,Ulco,Active,0.00,2,383
BP0011,Equipment Specific Parts,MK4 STAINLESS STELL MEDICAL AIR,No,65.00,74.75,Ulco,Active,0.00,23,384
BP0011,Equipment Specific Parts,Silencer,No,2.40,2.76,Ulco,Active,0.00,0,385
BP0011,Equipment Specific Parts,1/2 Clip,No,1.10,1.27,Ulco,Active,0.00,0,386
BP0011,Equipment Specific Parts,9/16 Clip,No,1.30,1.50,Ulco,Active,0.00,0,387
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,COLIN BP 8800 Front Case,No,733.00,842.95,Colin,Active,0.00,1,388
BP0011,Equipment Specific Parts,COLIN Luer Lock Fitting,No,59.70,68.66,Colin,Active,0.00,14,389
BP0006,Cuffs,Cuff Complete Adult,No,12.50,14.38,ACCOSON,Active,0.00,0,390
BP0006,Cuffs,Cuff Complete Pead ACCOSON,No,10.00,11.50,ACCOSON,Active,0.00,3,391
BP0006,Cuffs,Bp Cuff Bandage Adult Acoson,No,10.00,11.50,ACCOSON,Active,0.00,0,392
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),E Module,No,950.00,1092.50,B.BRAUN,Active,0.00,0,393
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),N MODULE (220-240V) B BRAUN 34506683,No,400.00,460.00,B.BRAUN,Active,0.00,2,394
BP0015,Keyboards/ Keypads/ Remotes,Foil Keyboard BBRAUN,No,200.00,230.00,B.BRAUN,Active,0.00,1,395
BP0001,Batteries/ UPS,RECHARGEABLE BATTERY ATOM 12V,No,475.00,546.25,Atom,Active,0.00,0,396
BP0003,Bulbs/ Lamps,MEDELA LAMP BODY MADELA,No,1495.00,1719.25,MEDELA,Active,0.00,3,397
BP0003,Bulbs/ Lamps,MEDELA Lamp Grid MADELA,No,685.00,787.75,MEDELA,Active,0.00,6,398
BP0003,Bulbs/ Lamps,PHOTHOTHERAPY LAMP PHOTOTHERAPY TL20/52,No,21.00,24.15,ATOM/philips,Active,0.00,54,399
BP0003,Bulbs/ Lamps,PHOTOTHERAPY LAMP TLD 30/03,No,26.00,29.90,ATOM/philips,Active,0.00,250,400
BP0003,Bulbs/ Lamps,PHOTOTHERAPY LAMP 40/03,No,31.00,35.65,ATOM/philips,Active,0.00,25,401
BP0025,Sensors/ Detectors,Po Finger Clip Sensor,No,323.00,371.45,OHMEDA,Active,0.00,0,402
BP0025,Sensors/ Detectors,Po Ohmeda Flex 11 Sensor,No,300.00,345.00,OHMEDA,Active,0.00,0,403
BP0025,Sensors/ Detectors,Ear Clip Sensor,No,150.00,172.50,OHMEDA,Active,0.00,0,404
BP0007,Diaphragms/ Pumps,A MODULE B Braun Pump,No,712.00,818.80,B.BRAUN,Active,0.00,1,405
BP0001,Batteries/ UPS,Battery,No,400.00,460.00,SIEMENS,Active,0.00,0,406
BP0011,Equipment Specific Parts,TOP 3300 HANDLE MAIN UNIT (T6335602(2)),No,76.00,87.40,TOP,Active,0.00,0,407
BP0011,Equipment Specific Parts,TOP 5100 Power Regulator KWS10-15,No,250.00,287.50,TOP,Active,0.00,7,408
BP0011,Equipment Specific Parts,TOP 5300 Base WITH HANDLE T6535604,No,277.00,318.55,TOP,Active,0.00,1,409
BP0011,Equipment Specific Parts,Slider Subass,No,441.00,507.15,TOP,Active,0.00,0,410
BP0011,Equipment Specific Parts,TOP 5300 Clamp Unit T653-044,No,190.00,218.50,TERUMO,Active,0.00,1,411
BP0011,Equipment Specific Parts,Boot Unit,No,122.00,140.30,TERUMO,Active,0.00,0,412
BP0011,Equipment Specific Parts,Dial Unit,No,110.00,126.50,TERUMO,Active,0.00,14,413
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Slider Cover Unit,No,410.00,471.50,TERUMO,Active,0.00,0,414
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Sypu Lower Case,No,252.00,289.80,TERUMO,Active,0.00,0,415
BP0011,Equipment Specific Parts,Universal Clamp Complete,No,372.00,427.80,B.BRAUN,Active,0.00,1,416
BP0011,Equipment Specific Parts,Drive Unit Complete,No,1330.00,1529.50,B.BRAUN,Active,0.00,0,417
BP0022,Power Supply Unit (PCB or Module)/ Transfomer,Sypu A Module(Battery R/Able Power Pack & Board),No,1500.00,1725.00,B.BRAUN,Active,0.00,0,418
BP0001,Batteries/ UPS,Rechargeable Battery,No,80.00,92.00,Akas,Active,0.00,0,419
BP0003,Bulbs/ Lamps,Bulb FML2TEX-N (For Eye Treadment Chair),No,75.00,86.25,OPTION,Active,0.00,0,420
BP0023,PPM/ Service/Maintenance/ Repair Kits,PPM KIT 10K FOR 10.4 GUI,No,900.00,1035.00,NELLCOR,Active,0.00,0,421
BP0004,Cables/ Lead Wires (or any part of it),PHYSIO CONTROL LP9B 3 lead Trunk Cable,No,150.00,172.50,PHYSIO CONTROL,Active,0.00,10,422
BP0011,Equipment Specific Parts,Recorder Assy,No,3100.00,3565.00,PHYSIO CONTROL,Active,0.00,0,423
BP0011,Equipment Specific Parts,PHYSIO CONTROL LP9B Printer Roller Assy 21330-000656,No,490.00,563.50,PHYSIO CONTROL,Active,0.00,2,424
BP0003,Bulbs/ Lamps,BULB HITACHI HALOGEN LAMP 12V 20W P/N:705-0840,No,80.00,92.00,HITACHI,Active,0.00,3,425
BP0001,Batteries/ UPS,BATTERY OMRON 4.8V 1.6 AH,No,120.00,138.00,Omron,Active,0.00,18,426
BP0003,Bulbs/ Lamps,Xenon Lamp 300,No,3000.00,3450.00,Fujinon,Active,0.00,0,427
BP0003,Bulbs/ Lamps,OL BULB HALOGEN 24V 150W W/O REFLECTOR,No,26.00,29.90,Eschman,Active,0.00,21,428
BP0003,Bulbs/ Lamps,Bulb Halogen 12V 100W Reflector,No,12.00,13.80,CARL ZEISS,Active,0.00,0,429
BP0003,Bulbs/ Lamps,Mic Bulb Halogen 12V 100W Reflector,No,18.00,20.70,CARL ZEISS,Active,0.00,0,430
BP0003,Bulbs/ Lamps,Mic Lamp Regulation Board,No,350.00,402.50,CARL ZEISS,Active,0.00,0,431
BP0003,Bulbs/ Lamps,Halogen Bulb 6V 30W(Carl Zies),No,105.00,120.75,CARL ZEISS,Active,0.00,2,432
BP0011,Equipment Specific Parts,"OLYMPUS CH-120V,30WSB",No,65.00,74.75,OLYMPUS,Active,0.00,4,433
BP0001,Batteries/ UPS,Battery for physio control Defibrillator LP9B,No,450.00,517.50,PHYSIO CONTROL,Active,0.00,0,434
BP0001,Batteries/ UPS,Life Pack Nicd Battery,No,450.00,517.50,PHYSIO CONTROL,Active,0.00,0,435
BP0001,Batteries/ UPS,Rechargeable Battery,No,1100.00,1265.00,PHYSIO CONTROL,Active,0.00,0,436
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Main Pcb Assembly,No,5500.00,6325.00,PHYSIO CONTROL,Active,0.00,0,437
BP0001,Batteries/ UPS,Rechargeable Battery 12V 4.5Ah,No,300.00,345.00,HEWLETT PACKARD,Active,0.00,0,438
BP0001,Batteries/ UPS,Battery Ups,No,145.00,166.75,UNICOM,Active,0.00,0,439
BP0007,Diaphragms/ Pumps,Diaphragm (Silicon),No,50.00,57.50,SECHRIST,Active,0.00,24,440
BP0015,Keyboards/ Keypads/ Remotes,Keyboard Panel,No,450.00,517.50,SUZUKEN,Active,0.00,0,441
BP0011,Equipment Specific Parts,Thermal Head,No,800.00,920.00,SUZUKEN,Active,0.00,0,442
BP0011,Equipment Specific Parts,Printer Roller Spool,No,35.00,40.25,SUZUKEN,Active,0.00,0,443
BP0011,Equipment Specific Parts,"Pb,Inverter",No,16.00,18.40,ATOM,Active,0.00,0,444
BP0003,Bulbs/ Lamps,BULB HEINE X.04.88.104 6V BINOCULAR,No,255.00,293.25,Iris Medical,Active,0.00,2,445
BP0011,Equipment Specific Parts,Infant Humidifier Chamber,No,860.00,989.00,Fisher & Paykel,Active,0.00,0,446
BP0011,Equipment Specific Parts,FISHER & PAYKEL ELECTRICAL ADAPTOR 900MR558,No,360.00,414.00,Fisher & Paykel,Active,0.00,3,447
