HCPCS_and_CPT_Code,DME_Supplier_Services_MUE_Values,MUE_Adjudication_Indicator,MUE_Rationale
E0296,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0297,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0300,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0301,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0302,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0303,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0304,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0305,2,3 Date of Service Edit: Clinical,Clinical: Data
E0310,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0315,0,3 Date of Service Edit: Clinical,CMS Policy
E0316,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0325,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0326,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0328,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0329,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0350,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0352,30,3 Date of Service Edit: Clinical,Clinical: Data
E0370,0,3 Date of Service Edit: Clinical,CMS Policy
E0371,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0372,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0373,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0424,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0425,0,3 Date of Service Edit: Clinical,CMS Policy
E0430,0,3 Date of Service Edit: Clinical,CMS Policy
E0431,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0433,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0434,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0435,0,3 Date of Service Edit: Clinical,CMS Policy
E0439,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0440,0,3 Date of Service Edit: Clinical,CMS Policy
E0441,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0442,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0443,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0444,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0445,0,3 Date of Service Edit: Clinical,CMS Policy
E0446,0,3 Date of Service Edit: Clinical,CMS Policy
E0447,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0455,0,3 Date of Service Edit: Clinical,CMS Policy
E0457,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0459,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0462,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0465,2,3 Date of Service Edit: Clinical,Nature of Equipment
E0466,2,3 Date of Service Edit: Clinical,Nature of Equipment
E0467,2,3 Date of Service Edit: Clinical,Nature of Equipment
E0470,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0471,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0472,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0480,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0481,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0482,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0483,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0484,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0485,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0486,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0487,0,3 Date of Service Edit: Clinical,CMS Policy
E0500,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0550,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0555,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0560,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0561,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0562,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0565,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0570,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0572,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0574,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0575,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0580,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0585,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0600,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0601,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0602,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0603,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0604,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0605,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0606,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0607,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0610,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0615,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0616,1,3 Date of Service Edit: Clinical,CMS Policy
E0617,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0618,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0619,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0620,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0621,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0625,0,3 Date of Service Edit: Clinical,CMS Policy
E0627,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0629,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0630,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0635,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0636,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0637,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0638,0,3 Date of Service Edit: Clinical,CMS Policy
E0639,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0640,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0641,0,3 Date of Service Edit: Clinical,CMS Policy
E0642,0,3 Date of Service Edit: Clinical,CMS Policy
E0650,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0651,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0652,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0655,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0656,1,2 Date of Service Edit: Policy,Anatomic Consideration
E0657,1,2 Date of Service Edit: Policy,Anatomic Consideration
E0660,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0665,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0666,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0667,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0668,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0669,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0670,1,2 Date of Service Edit: Policy,Anatomic Consideration
E0671,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0672,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0673,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0675,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0676,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0691,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0692,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0693,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0694,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0700,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0705,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0710,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0720,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0730,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0731,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0740,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0744,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0745,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0746,0,3 Date of Service Edit: Clinical,CMS Policy
E0747,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0748,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0749,0,3 Date of Service Edit: Clinical,CMS Policy
E0755,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0760,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0761,0,3 Date of Service Edit: Clinical,CMS Policy
E0762,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0764,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0765,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0766,1,3 Date of Service Edit: Clinical,CMS Policy
E0769,0,3 Date of Service Edit: Clinical,CMS Policy
E0770,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0776,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0779,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0780,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0781,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0782,1,3 Date of Service Edit: Clinical,CMS Policy
E0783,1,3 Date of Service Edit: Clinical,CMS Policy
E0784,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0785,1,3 Date of Service Edit: Clinical,CMS Policy
E0786,1,3 Date of Service Edit: Clinical,CMS Policy
E0787,0,3 Date of Service Edit: Clinical,CMS Policy
E0791,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0830,0,3 Date of Service Edit: Clinical,CMS Policy
E0840,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0849,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0850,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0855,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0856,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0860,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0870,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0880,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0890,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0900,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0910,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0911,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0912,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0920,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0930,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0935,21,3 Date of Service Edit: Clinical,CMS Policy
E0936,0,3 Date of Service Edit: Clinical,CMS Policy
E0940,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0941,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0942,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0944,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0945,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E0946,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0947,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0948,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0950,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0951,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0952,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0953,4,3 Date of Service Edit: Clinical,Nature of Equipment
E0954,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0955,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0956,4,3 Date of Service Edit: Clinical,Nature of Equipment
E0957,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E0958,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0959,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0960,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0961,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0966,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0967,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0968,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0969,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0970,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0971,2,3 Date of Service Edit: Clinical,Nature of Equipment
E0973,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0974,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0978,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0980,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0981,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0982,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0983,0,3 Date of Service Edit: Clinical,CMS Policy
E0984,0,3 Date of Service Edit: Clinical,CMS Policy
E0985,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0986,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0988,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0990,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0992,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0994,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0995,2,2 Date of Service Edit: Policy,Anatomic Consideration
E1002,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1003,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1004,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1005,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1006,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1007,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1008,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1009,2,2 Date of Service Edit: Policy,Clinical: Data
E1010,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1011,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1012,1,3 Date of Service Edit: Clinical,Nature of Equipment
E1014,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1015,2,3 Date of Service Edit: Clinical,Nature of Equipment
E1016,2,3 Date of Service Edit: Clinical,Nature of Equipment
E1017,2,3 Date of Service Edit: Clinical,Nature of Equipment
E1018,2,3 Date of Service Edit: Clinical,Nature of Equipment
E1020,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1028,6,3 Date of Service Edit: Clinical,Clinical: Data
E1029,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1030,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1031,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1035,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1036,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1037,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1038,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1039,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1050,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1060,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1070,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1083,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1084,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1085,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1086,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1087,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1088,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1089,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1090,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1092,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1093,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1100,1,2 Date of Service Edit: Policy,Nature of Equipment
E1110,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1130,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1140,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1150,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1160,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1161,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1170,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1171,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1172,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1180,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1190,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1195,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1200,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1220,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1221,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1222,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1223,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1224,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1225,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1226,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1227,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E1228,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1229,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1230,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1231,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1232,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1233,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1234,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1235,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1236,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1237,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1238,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1239,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1240,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1250,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1260,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1270,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1280,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1285,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1290,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1295,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1296,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E1297,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E1298,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E1300,0,3 Date of Service Edit: Clinical,CMS Policy
E1310,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1352,0,3 Date of Service Edit: Clinical,CMS Policy
E1353,0,3 Date of Service Edit: Clinical,CMS Policy
E1354,0,3 Date of Service Edit: Clinical,CMS Policy
E1355,0,3 Date of Service Edit: Clinical,CMS Policy
E1356,0,3 Date of Service Edit: Clinical,CMS Policy
E1357,0,3 Date of Service Edit: Clinical,CMS Policy
E1358,0,3 Date of Service Edit: Clinical,CMS Policy
E1372,1,3 Date of Service Edit: Clinical,Nature of Equipment
E1390,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1391,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1392,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1405,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1406,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1500,0,3 Date of Service Edit: Clinical,CMS Policy
E1510,0,3 Date of Service Edit: Clinical,CMS Policy
E1520,0,3 Date of Service Edit: Clinical,CMS Policy
E1530,0,3 Date of Service Edit: Clinical,CMS Policy
E1540,0,3 Date of Service Edit: Clinical,CMS Policy
E1550,0,3 Date of Service Edit: Clinical,CMS Policy
E1560,0,3 Date of Service Edit: Clinical,CMS Policy
E1570,0,3 Date of Service Edit: Clinical,CMS Policy
E1575,0,3 Date of Service Edit: Clinical,CMS Policy
E1580,0,3 Date of Service Edit: Clinical,CMS Policy
E1590,0,3 Date of Service Edit: Clinical,CMS Policy
E1592,0,3 Date of Service Edit: Clinical,CMS Policy
E1594,0,3 Date of Service Edit: Clinical,CMS Policy
E1600,0,3 Date of Service Edit: Clinical,CMS Policy
E1610,0,3 Date of Service Edit: Clinical,CMS Policy
E1615,0,3 Date of Service Edit: Clinical,CMS Policy
E1620,0,3 Date of Service Edit: Clinical,CMS Policy
E1625,0,3 Date of Service Edit: Clinical,CMS Policy
E1630,0,3 Date of Service Edit: Clinical,CMS Policy
E1632,0,3 Date of Service Edit: Clinical,CMS Policy
E1634,0,3 Date of Service Edit: Clinical,CMS Policy
E1635,0,3 Date of Service Edit: Clinical,CMS Policy
E1636,0,3 Date of Service Edit: Clinical,CMS Policy
E1637,0,3 Date of Service Edit: Clinical,CMS Policy
E1639,0,3 Date of Service Edit: Clinical,CMS Policy
E1700,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E1701,3,3 Date of Service Edit: Clinical,Clinical: Data
E1702,0,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
E1800,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1801,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1802,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1805,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1806,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1810,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1811,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1812,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1815,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1816,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1818,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1820,2,3 Date of Service Edit: Clinical,Clinical: Data
E1821,1,3 Date of Service Edit: Clinical,Clinical: Data
E1825,3,3 Date of Service Edit: Clinical,Clinical: Data
E1830,2,3 Date of Service Edit: Clinical,Nature of Equipment
E1831,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1840,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1841,2,3 Date of Service Edit: Clinical,Anatomic Consideration
E1902,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2000,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2100,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2101,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2120,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2201,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2202,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2203,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2204,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2205,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2206,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2207,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2208,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2209,2,2 Date of Service Edit: Policy,Anatomic Consideration
E2210,12,3 Date of Service Edit: Clinical,Clinical: Data
E2211,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2212,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2213,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2214,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2215,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2216,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2217,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2218,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2219,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2220,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2221,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2222,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2224,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2225,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2226,2,3 Date of Service Edit: Clinical,Nature of Equipment
E2227,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2228,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2230,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E2231,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2291,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2292,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2293,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2294,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2295,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2300,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2301,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2310,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2311,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2312,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2313,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2321,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2322,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2323,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2324,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2325,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2326,1,3 Date of Service Edit: Clinical,Nature of Equipment
E2327,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E2328,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
