EquipmentID,TechnicianID,MaintenanceDate,MaintenanceTypeID,Description
5999,1003,8/23/2023,4,Lubricated moving parts
1443,3406,2/25/2023,2,Replaced faulty sensor
3736,603,12/3/2023,1,Preventive maintenance
1250,2697,1/31/2023,1,Preventive maintenance
5789,180,7/26/2023,6,Safety inspection and compliance check
1379,4301,2/28/2023,7,Checked and tightened loose connections
3851,1453,1/26/2023,1,Disinfection and sterilization
1429,705,3/22/2023,2,Disinfection and sterilization
202,2496,7/14/2023,4,Performed software update
4447,721,11/15/2023,6,Performed software update
2529,3162,10/11/2023,3,Emergency repair
2467,2898,1/18/2023,4,Disinfection and sterilization
3061,1901,7/19/2023,1,Diagnostic tests and troubleshooting
1769,1366,4/6/2023,7,Routine inspection and cleaning
5578,1317,2/8/2023,2,Performed software update
3405,1602,7/16/2023,5,Checked and tightened loose connections
2516,3555,2/12/2023,3,Diagnostic tests and troubleshooting
1333,4053,7/17/2023,5,Calibrated equipment for accuracy
450,2712,10/6/2023,1,Calibrated equipment for accuracy
926,3894,11/6/2023,5,Performed software update
3368,2439,2/19/2023,2,Performed software update
5856,4618,6/27/2023,8,Replaced worn-out components
3889,4595,9/3/2023,5,Disinfection and sterilization
183,100,8/23/2023,5,Preventive maintenance
753,90,10/26/2023,2,Emergency repair
5229,2666,6/8/2023,5,Safety inspection and compliance check
1770,3980,10/10/2023,2,Checked and tightened loose connections
4907,731,9/3/2023,4,Lubricated moving parts
2503,1958,12/16/2023,8,Checked and tightened loose connections
1083,3224,3/4/2023,9,Lubricated moving parts
3070,4254,4/8/2023,4,Calibrated equipment for accuracy
1502,1899,7/27/2023,4,Replaced faulty sensor
4080,2877,9/21/2023,6,Lubricated moving parts
5752,4608,9/9/2023,2,Safety inspection and compliance check
4955,97,5/18/2023,2,Lubricated moving parts
2445,497,2/2/2023,8,Preventive maintenance
1357,2011,1/5/2023,7,Calibrated equipment for accuracy
210,2047,5/28/2023,5,Verified calibration accuracy
1445,145,10/21/2023,2,Safety inspection and compliance check
1192,278,2/24/2023,5,Routine inspection and cleaning
1747,1251,9/4/2023,6,Performed software update
4458,4811,4/18/2023,5,Performed software update
1767,3027,4/9/2023,5,Replaced faulty sensor
5334,4773,2/10/2023,2,Emergency repair
4563,4520,7/23/2023,7,Disinfection and sterilization
640,1987,6/28/2023,2,Diagnostic tests and troubleshooting
1481,4682,4/3/2023,4,Calibrated equipment for accuracy
5142,1150,2/1/2023,9,Routine inspection and cleaning
4290,90,6/23/2023,6,Checked and tightened loose connections
4683,1302,10/1/2023,7,Replaced faulty sensor
5586,678,12/5/2023,3,Replaced faulty sensor
2554,3117,11/18/2023,3,Replaced faulty sensor
2943,4165,12/8/2023,6,Replaced worn-out components
4635,3154,9/13/2023,4,Replaced worn-out components
1403,2111,2/10/2023,6,Lubricated moving parts
3790,393,3/8/2023,6,Replaced faulty sensor
4088,1443,4/28/2023,2,Replaced worn-out components
1342,3253,1/5/2023,8,Disinfection and sterilization
3870,1998,6/19/2023,1,Calibrated equipment for accuracy
802,992,5/28/2023,4,Calibrated equipment for accuracy
5259,3603,10/15/2023,9,Checked and tightened loose connections
3170,953,6/1/2023,7,Checked and tightened loose connections
1748,3280,1/19/2023,6,Emergency repair
5299,1454,6/7/2023,5,Preventive maintenance
61,4120,12/4/2023,2,Safety inspection and compliance check
3439,4139,8/18/2023,8,Verified calibration accuracy
979,3302,2/23/2023,7,Lubricated moving parts
3086,4782,10/31/2023,2,Disinfection and sterilization
3399,123,7/16/2023,1,Checked and tightened loose connections
705,1206,8/23/2023,2,Performed software update
2328,4310,7/10/2023,5,Disinfection and sterilization
1500,4108,5/25/2023,6,Disinfection and sterilization
108,2214,12/30/2023,7,Lubricated moving parts
5875,2421,1/20/2023,3,Emergency repair
4924,4814,3/4/2023,7,Lubricated moving parts
2908,3754,12/17/2023,2,Verified calibration accuracy
3108,516,5/4/2023,2,Verified calibration accuracy
4276,1953,2/19/2023,7,Replaced faulty sensor
2211,614,5/6/2023,5,Checked and tightened loose connections
4228,3450,11/25/2023,7,Lubricated moving parts
3541,4387,4/29/2023,5,Preventive maintenance
4478,4909,12/21/2023,7,Replaced worn-out components
2042,2823,6/28/2023,4,Calibrated equipment for accuracy
2995,2007,7/31/2023,7,Performed software update
2322,4586,4/27/2023,7,Routine inspection and cleaning
1761,526,1/25/2023,1,Diagnostic tests and troubleshooting
5899,563,7/18/2023,6,Calibrated equipment for accuracy
4336,10,7/1/2023,9,Safety inspection and compliance check
1294,3443,7/14/2023,1,Routine inspection and cleaning
4915,4411,4/30/2023,1,Verified calibration accuracy
5972,3274,10/12/2023,9,Calibrated equipment for accuracy
2274,1252,4/3/2023,9,Preventive maintenance
4993,1998,10/19/2023,5,Routine inspection and cleaning
4192,1064,9/10/2023,2,Disinfection and sterilization
2480,4247,6/5/2023,7,Verified calibration accuracy
1915,4384,8/22/2023,3,Verified calibration accuracy
128,1717,10/13/2023,9,Diagnostic tests and troubleshooting
69,3274,9/11/2023,5,Disinfection and sterilization
3321,579,7/17/2023,8,Lubricated moving parts
3952,4388,7/16/2023,7,Emergency repair
5221,1523,10/7/2023,4,Calibrated equipment for accuracy
521,2797,2/5/2023,4,Safety inspection and compliance check
2760,3274,7/10/2023,1,Safety inspection and compliance check
4675,3785,9/19/2023,3,Disinfection and sterilization
3161,958,11/22/2023,1,Disinfection and sterilization
2314,3752,10/1/2023,5,Verified calibration accuracy
3983,1506,9/21/2023,3,Routine inspection and cleaning
5188,2991,6/14/2023,4,Calibrated equipment for accuracy
4824,3998,11/28/2023,2,Lubricated moving parts
3703,3512,4/11/2023,5,Replaced faulty sensor
5714,2377,11/5/2023,6,Diagnostic tests and troubleshooting
3810,2192,10/11/2023,5,Diagnostic tests and troubleshooting
4559,2482,7/13/2023,1,Performed software update
1955,4525,8/10/2023,1,Safety inspection and compliance check
3593,4039,4/12/2023,3,Routine inspection and cleaning
5599,4544,8/27/2023,2,Preventive maintenance
3774,4909,10/20/2023,6,Performed software update
1200,4751,10/24/2023,6,Verified calibration accuracy
2162,3687,7/15/2023,7,Replaced worn-out components
350,265,1/7/2023,2,Calibrated equipment for accuracy
2471,4994,11/23/2023,8,Safety inspection and compliance check
1791,1138,7/28/2023,3,Routine inspection and cleaning
1579,1900,4/21/2023,5,Routine inspection and cleaning
1695,1069,6/12/2023,8,Performed software update
423,789,6/20/2023,2,Disinfection and sterilization
4899,3294,9/24/2023,1,Performed software update
3879,1374,8/31/2023,4,Replaced faulty sensor
445,1427,12/23/2023,9,Preventive maintenance
4210,183,3/19/2023,2,Replaced faulty sensor
3420,3243,5/26/2023,9,Routine inspection and cleaning
4738,434,8/2/2023,9,Performed software update
5205,1700,8/28/2023,3,Calibrated equipment for accuracy
3160,3916,8/24/2023,2,Performed software update
541,4333,1/28/2023,6,Preventive maintenance
5724,3680,11/25/2023,8,Diagnostic tests and troubleshooting
223,2470,5/13/2023,2,Checked and tightened loose connections
5928,2878,1/28/2023,1,Disinfection and sterilization
1200,2060,11/12/2023,7,Calibrated equipment for accuracy
3338,254,3/5/2023,2,Disinfection and sterilization
3325,1536,10/7/2023,9,Disinfection and sterilization
705,2292,6/3/2023,3,Replaced faulty sensor
1177,975,11/2/2023,1,Performed software update
1732,3166,5/31/2023,9,Lubricated moving parts
2952,1986,2/16/2023,8,Replaced worn-out components
3581,1298,6/27/2023,4,Calibrated equipment for accuracy
1875,938,10/22/2023,2,Replaced faulty sensor
474,1994,10/16/2023,8,Routine inspection and cleaning
5584,1577,4/10/2023,9,Emergency repair
1124,929,5/16/2023,9,Routine inspection and cleaning
5654,1525,2/27/2023,7,Safety inspection and compliance check
5437,3135,11/27/2023,8,Safety inspection and compliance check
2201,165,4/21/2023,2,Preventive maintenance
4916,2560,2/20/2023,6,Replaced worn-out components
5631,1700,11/18/2023,2,Verified calibration accuracy
2343,33,12/16/2023,7,Checked and tightened loose connections
1042,80,11/18/2023,3,Routine inspection and cleaning
3807,442,5/31/2023,6,Disinfection and sterilization
4371,109,6/1/2023,1,Preventive maintenance
4415,4130,3/25/2023,2,Calibrated equipment for accuracy
938,2268,1/22/2023,4,Replaced faulty sensor
3678,4279,7/9/2023,3,Replaced faulty sensor
535,2931,9/12/2023,6,Diagnostic tests and troubleshooting
2224,1562,2/18/2023,7,Replaced faulty sensor
1751,1764,11/13/2023,2,Replaced worn-out components
710,2818,12/5/2023,2,Checked and tightened loose connections
4689,892,6/3/2023,6,Emergency repair
4019,4522,11/9/2023,7,Replaced faulty sensor
5081,1823,8/4/2023,1,Preventive maintenance
3086,795,10/17/2023,6,Verified calibration accuracy
5687,1804,9/26/2023,2,Performed software update
4117,3089,1/24/2023,9,Disinfection and sterilization
1519,4476,4/16/2023,9,Routine inspection and cleaning
1361,1272,2/3/2023,3,Emergency repair
2360,975,1/12/2023,4,Checked and tightened loose connections
4555,1202,7/15/2023,1,Verified calibration accuracy
263,2482,12/1/2023,9,Performed software update
2293,4822,2/26/2023,1,Performed software update
2127,567,1/31/2023,5,Lubricated moving parts
4535,4788,11/11/2023,1,Checked and tightened loose connections
5770,1604,8/20/2023,9,Lubricated moving parts
2227,2582,12/11/2023,1,Emergency repair
4421,4957,5/10/2023,8,Lubricated moving parts
2216,2957,2/2/2023,7,Verified calibration accuracy
2061,464,1/4/2023,7,Emergency repair
4377,2999,2/15/2023,7,Checked and tightened loose connections
4041,1271,9/13/2023,9,Performed software update
1562,1229,11/26/2023,4,Routine inspection and cleaning
2908,4749,9/15/2023,4,Replaced faulty sensor
3988,3280,11/17/2023,2,Checked and tightened loose connections
680,1702,11/7/2023,1,Lubricated moving parts
3197,4506,7/12/2023,3,Emergency repair
5087,2211,1/16/2023,8,Checked and tightened loose connections
3645,4657,11/2/2023,7,Preventive maintenance
4730,1644,1/13/2023,6,Preventive maintenance
476,4551,2/21/2023,3,Verified calibration accuracy
4837,3412,5/18/2023,2,Performed software update
264,4285,1/4/2023,9,Verified calibration accuracy
3526,4896,2/15/2023,6,Replaced faulty sensor
5374,653,3/19/2023,5,Emergency repair
5720,2520,4/7/2023,4,Verified calibration accuracy
2162,4711,2/15/2023,4,Replaced faulty sensor
2931,2801,5/3/2023,2,Safety inspection and compliance check
3655,1572,3/18/2023,9,Routine inspection and cleaning
1773,3573,5/7/2023,1,Emergency repair
1460,3001,1/26/2023,2,Preventive maintenance
1194,3121,7/26/2023,1,Lubricated moving parts
4333,4215,1/31/2023,3,Performed software update
4481,722,9/16/2023,8,Lubricated moving parts
4030,2964,10/1/2023,8,Emergency repair
1374,1826,12/3/2023,3,Emergency repair
2599,4588,10/15/2023,4,Replaced faulty sensor
294,2236,11/17/2023,5,Performed software update
2809,78,12/19/2023,1,Checked and tightened loose connections
570,4279,1/29/2023,8,Lubricated moving parts
468,1110,5/5/2023,1,Safety inspection and compliance check
1487,802,11/25/2023,4,Calibrated equipment for accuracy
5527,4555,7/28/2023,7,Performed software update
2834,4278,11/9/2023,5,Safety inspection and compliance check
4741,2523,1/20/2023,4,Preventive maintenance
485,3182,7/20/2023,2,Disinfection and sterilization
92,1356,4/25/2023,4,Safety inspection and compliance check
3726,2680,5/20/2023,3,Routine inspection and cleaning
2985,1183,11/22/2023,2,Preventive maintenance
3222,3526,1/11/2023,7,Replaced faulty sensor
3161,4860,9/2/2023,8,Checked and tightened loose connections
3762,1756,6/14/2023,9,Disinfection and sterilization
3050,1916,6/4/2023,3,Preventive maintenance
3848,2409,3/29/2023,9,Lubricated moving parts
4486,1406,12/21/2023,4,Routine inspection and cleaning
3578,253,9/15/2023,9,Checked and tightened loose connections
5081,1913,4/2/2023,6,Replaced faulty sensor
3333,4801,7/5/2023,9,Replaced worn-out components
4811,1841,10/30/2023,6,Performed software update
718,2599,3/16/2023,1,Calibrated equipment for accuracy
743,1160,8/27/2023,9,Emergency repair
961,1752,4/10/2023,7,Disinfection and sterilization
1374,3661,4/4/2023,8,Preventive maintenance
4280,3691,12/22/2023,9,Checked and tightened loose connections
3158,4249,9/29/2023,3,Checked and tightened loose connections
4431,50,2/8/2023,1,Safety inspection and compliance check
3647,4811,8/11/2023,6,Diagnostic tests and troubleshooting
4113,4287,5/17/2023,6,Verified calibration accuracy
2070,4700,4/22/2023,2,Replaced faulty sensor
2932,3811,8/31/2023,7,Emergency repair
2158,3119,4/12/2023,5,Checked and tightened loose connections
2127,2524,10/26/2023,6,Calibrated equipment for accuracy
273,2914,10/7/2023,6,Routine inspection and cleaning
4396,2430,12/30/2023,7,Lubricated moving parts
5147,1189,3/19/2023,4,Safety inspection and compliance check
2774,4412,11/12/2023,3,Verified calibration accuracy
4330,1935,4/7/2023,5,Diagnostic tests and troubleshooting
4411,4305,10/19/2023,7,Disinfection and sterilization
3127,4247,9/30/2023,8,Preventive maintenance
5334,1174,6/10/2023,1,Emergency repair
572,4148,12/13/2023,6,Checked and tightened loose connections
4512,3154,9/18/2023,1,Calibrated equipment for accuracy
1984,3131,6/28/2023,7,Verified calibration accuracy
4482,864,10/14/2023,6,Checked and tightened loose connections
4776,2293,3/22/2023,8,Lubricated moving parts
323,2380,3/18/2023,1,Disinfection and sterilization
13,1433,6/30/2023,3,Disinfection and sterilization
4100,611,1/20/2023,8,Replaced worn-out components
5942,2000,3/19/2023,7,Safety inspection and compliance check
5441,2249,11/15/2023,1,Safety inspection and compliance check
952,2320,3/3/2023,5,Verified calibration accuracy
1388,4647,1/20/2023,4,Replaced faulty sensor
2534,2644,1/10/2023,8,Replaced worn-out components
1669,4130,6/19/2023,7,Lubricated moving parts
5567,3791,5/31/2023,1,Disinfection and sterilization
1014,1486,12/20/2023,8,Diagnostic tests and troubleshooting
1961,3630,3/28/2023,8,Replaced faulty sensor
4502,2156,4/7/2023,1,Lubricated moving parts
944,1000,11/25/2023,4,Preventive maintenance
5580,419,12/22/2023,2,Routine inspection and cleaning
5388,3436,12/28/2023,7,Emergency repair
3270,4457,9/10/2023,3,Lubricated moving parts
4627,4136,1/22/2023,2,Checked and tightened loose connections
3697,3875,9/27/2023,3,Routine inspection and cleaning
2733,2438,9/13/2023,3,Checked and tightened loose connections
3663,4295,7/4/2023,9,Calibrated equipment for accuracy
1381,3946,6/8/2023,8,Replaced faulty sensor
843,4812,8/3/2023,6,Verified calibration accuracy
1200,3299,12/27/2023,7,Verified calibration accuracy
3435,2466,12/11/2023,3,Preventive maintenance
5768,223,9/18/2023,1,Performed software update
4915,3933,8/19/2023,7,Lubricated moving parts
475,598,5/5/2023,4,Preventive maintenance
2444,59,6/17/2023,1,Calibrated equipment for accuracy
2025,2903,3/31/2023,3,Routine inspection and cleaning
3988,1098,10/4/2023,7,Preventive maintenance
2442,199,8/12/2023,2,Preventive maintenance
2816,3888,5/6/2023,4,Replaced worn-out components
5660,680,10/25/2023,9,Replaced worn-out components
5118,2291,12/28/2023,7,Routine inspection and cleaning
2818,1341,7/29/2023,5,Diagnostic tests and troubleshooting
4155,4943,7/4/2023,8,Routine inspection and cleaning
98,3088,10/7/2023,4,Routine inspection and cleaning
3547,2735,2/14/2023,2,Routine inspection and cleaning
1602,2726,6/4/2023,4,Checked and tightened loose connections
1669,181,1/24/2023,7,Calibrated equipment for accuracy
3158,3914,4/8/2023,7,Replaced faulty sensor
3605,3710,3/28/2023,3,Safety inspection and compliance check
2380,588,2/21/2023,4,Disinfection and sterilization
682,1891,4/3/2023,6,Replaced worn-out components
3810,392,6/19/2023,5,Lubricated moving parts
3424,1191,12/17/2023,2,Performed software update
3660,3630,3/15/2023,7,Routine inspection and cleaning
5586,4574,4/5/2023,3,Calibrated equipment for accuracy
2658,201,8/15/2023,7,Replaced faulty sensor
4483,4726,6/5/2023,8,Preventive maintenance
3719,1543,8/15/2023,3,Diagnostic tests and troubleshooting
3508,1523,11/5/2023,4,Safety inspection and compliance check
3392,1998,3/7/2023,6,Diagnostic tests and troubleshooting
709,1610,11/18/2023,3,Replaced faulty sensor
4635,2678,3/8/2023,6,Lubricated moving parts
4949,2152,1/31/2023,8,Checked and tightened loose connections
1496,2513,2/5/2023,7,Replaced worn-out components
2362,946,8/1/2023,7,Calibrated equipment for accuracy
694,3969,7/23/2023,5,Performed software update
4916,121,5/15/2023,5,Verified calibration accuracy
2520,2443,4/26/2023,3,Diagnostic tests and troubleshooting
1941,4985,6/10/2023,1,Emergency repair
4760,3312,8/28/2023,3,Disinfection and sterilization
4921,2647,8/14/2023,9,Calibrated equipment for accuracy
4065,1701,8/9/2023,4,Preventive maintenance
3756,2157,3/27/2023,9,Diagnostic tests and troubleshooting
5913,2868,5/22/2023,6,Verified calibration accuracy
3687,4216,10/5/2023,2,Diagnostic tests and troubleshooting
1669,4324,8/31/2023,8,Calibrated equipment for accuracy
4814,3466,12/3/2023,6,Replaced faulty sensor
5868,1243,5/24/2023,5,Replaced worn-out components
725,40,1/2/2023,4,Verified calibration accuracy
1849,4897,6/10/2023,5,Diagnostic tests and troubleshooting
2323,1534,6/2/2023,4,Lubricated moving parts
2528,2567,10/2/2023,3,Routine inspection and cleaning
2838,1630,12/24/2023,9,Performed software update
3667,1526,3/10/2023,2,Safety inspection and compliance check
60,2855,5/7/2023,4,Performed software update
1374,3150,3/24/2023,4,Checked and tightened loose connections
1154,2193,12/22/2023,4,Disinfection and sterilization
4488,2450,2/8/2023,6,Routine inspection and cleaning
1917,1419,10/4/2023,9,Safety inspection and compliance check
1343,4093,1/24/2023,9,Calibrated equipment for accuracy
4299,3651,1/2/2023,8,Lubricated moving parts
3924,3398,2/18/2023,5,Replaced worn-out components
1090,896,12/6/2023,8,Preventive maintenance
3525,1019,1/8/2023,5,Disinfection and sterilization
2945,3799,10/26/2023,2,Safety inspection and compliance check
4854,3185,6/2/2023,9,Lubricated moving parts
674,3783,12/21/2023,4,Lubricated moving parts
548,854,11/30/2023,7,Safety inspection and compliance check
1309,117,10/4/2023,4,Checked and tightened loose connections
5820,2383,11/23/2023,1,Routine inspection and cleaning
3445,2456,4/27/2023,7,Preventive maintenance
4872,4887,12/29/2023,4,Performed software update
5259,3570,7/2/2023,7,Preventive maintenance
4780,28,6/13/2023,2,Safety inspection and compliance check
1098,2750,10/26/2023,6,Checked and tightened loose connections
3374,2382,2/8/2023,9,Verified calibration accuracy
5483,3223,1/1/2024,5,Calibrated equipment for accuracy
5230,848,3/29/2023,4,Checked and tightened loose connections
5384,4780,8/11/2023,3,Lubricated moving parts
1597,1590,3/18/2023,7,Replaced worn-out components
1385,1185,2/2/2023,6,Preventive maintenance
5302,1258,3/3/2023,7,Replaced worn-out components
1091,959,9/13/2023,4,Disinfection and sterilization
1506,4158,1/19/2023,3,Preventive maintenance
1518,4745,5/10/2023,8,Calibrated equipment for accuracy
1699,2919,3/8/2023,1,Disinfection and sterilization
1277,4877,3/14/2023,3,Preventive maintenance
1154,1283,9/1/2023,1,Disinfection and sterilization
5304,1933,7/9/2023,2,Verified calibration accuracy
5022,621,9/15/2023,3,Lubricated moving parts
5012,3036,1/10/2023,3,Lubricated moving parts
4127,1208,9/5/2023,5,Safety inspection and compliance check
5305,2171,6/12/2023,7,Checked and tightened loose connections
3771,2504,6/27/2023,9,Replaced faulty sensor
1580,1621,1/3/2023,7,Disinfection and sterilization
4916,3942,7/15/2023,1,Verified calibration accuracy
2456,4249,3/15/2023,5,Safety inspection and compliance check
405,2479,12/7/2023,1,Preventive maintenance
262,4618,4/2/2023,9,Lubricated moving parts
2601,1051,3/5/2023,2,Disinfection and sterilization
4048,1136,1/10/2023,8,Emergency repair
2295,3756,9/30/2023,5,Routine inspection and cleaning
2548,1723,11/11/2023,9,Replaced worn-out components
3677,4460,9/12/2023,2,Calibrated equipment for accuracy
675,3894,1/29/2023,9,Emergency repair
1677,525,11/9/2023,8,Replaced worn-out components
3808,1868,12/8/2023,1,Replaced faulty sensor
890,4392,4/17/2023,8,Calibrated equipment for accuracy
4041,4409,9/28/2023,4,Preventive maintenance
1720,3603,1/31/2023,3,Calibrated equipment for accuracy
4071,4153,3/5/2023,1,Performed software update
4014,1142,7/5/2023,3,Performed software update
5228,3753,12/25/2023,1,Diagnostic tests and troubleshooting
3691,1904,10/16/2023,1,Preventive maintenance
2810,4135,3/17/2023,8,Emergency repair
839,657,1/24/2023,3,Performed software update
4858,1416,11/24/2023,7,Verified calibration accuracy
5221,1015,3/7/2023,7,Preventive maintenance
5545,896,11/12/2023,9,Emergency repair
378,3374,5/29/2023,6,Emergency repair
5087,1674,4/23/2023,7,Emergency repair
4630,4176,10/13/2023,7,Lubricated moving parts
4535,1901,11/6/2023,5,Replaced faulty sensor
4438,4347,11/11/2023,8,Calibrated equipment for accuracy
5202,2243,8/22/2023,1,Checked and tightened loose connections
3612,4882,8/20/2023,5,Preventive maintenance
5415,3042,12/16/2023,3,Emergency repair
1,1547,3/18/2023,2,Checked and tightened loose connections
2827,13,2/17/2023,2,Replaced faulty sensor
2993,4325,12/9/2023,6,Diagnostic tests and troubleshooting
3876,461,4/12/2023,5,Safety inspection and compliance check
4057,1770,6/24/2023,1,Replaced faulty sensor
3587,1345,10/26/2023,6,Verified calibration accuracy
734,4991,3/21/2023,5,Calibrated equipment for accuracy
4679,631,8/28/2023,7,Preventive maintenance
2248,747,11/9/2023,2,Checked and tightened loose connections
4551,2909,12/16/2023,5,Emergency repair
4353,1801,4/15/2023,4,Routine inspection and cleaning
4944,3743,12/27/2023,7,Safety inspection and compliance check
51,3090,7/27/2023,1,Replaced worn-out components
5759,3239,8/11/2023,7,Verified calibration accuracy
1812,1525,9/4/2023,5,Checked and tightened loose connections
3504,3343,10/18/2023,3,Lubricated moving parts
1860,3431,3/12/2023,6,Calibrated equipment for accuracy
121,1132,8/13/2023,8,Performed software update
3575,3354,2/7/2023,1,Replaced faulty sensor
1115,1871,3/12/2023,7,Replaced worn-out components
1862,2116,6/20/2023,4,Routine inspection and cleaning
4321,3860,11/14/2023,6,Lubricated moving parts
5101,2840,2/17/2023,6,Verified calibration accuracy
1602,4465,7/11/2023,6,Preventive maintenance
4647,4085,10/7/2023,7,Lubricated moving parts
3084,2307,8/6/2023,3,Routine inspection and cleaning
1639,4122,5/25/2023,6,Diagnostic tests and troubleshooting
4286,3538,12/13/2023,1,Disinfection and sterilization
4703,1347,4/19/2023,4,Disinfection and sterilization
3170,1496,7/16/2023,2,Routine inspection and cleaning
930,1277,12/22/2023,1,Replaced faulty sensor
962,267,4/22/2023,3,Disinfection and sterilization
5936,1892,9/8/2023,2,Emergency repair
140,832,12/28/2023,6,Safety inspection and compliance check
2783,3673,11/11/2023,7,Replaced faulty sensor
1413,4632,9/9/2023,2,Disinfection and sterilization
4934,1621,4/5/2023,8,Checked and tightened loose connections
5258,2760,3/3/2023,3,Performed software update
914,23,3/15/2023,8,Preventive maintenance
4620,3913,4/7/2023,3,Disinfection and sterilization
4996,131,9/9/2023,6,Routine inspection and cleaning
4678,3186,2/22/2023,1,Verified calibration accuracy
1442,3496,6/17/2023,2,Checked and tightened loose connections
5654,4250,11/16/2023,4,Routine inspection and cleaning
3691,3398,5/12/2023,5,Disinfection and sterilization
2420,3263,11/10/2023,8,Emergency repair
1779,4965,9/17/2023,3,Safety inspection and compliance check
1600,4174,1/18/2023,2,Safety inspection and compliance check
4259,434,6/1/2023,1,Disinfection and sterilization
1846,4921,1/26/2023,2,Lubricated moving parts
748,4538,7/1/2023,2,Calibrated equipment for accuracy
1844,1781,6/8/2023,1,Preventive maintenance
4583,2507,6/26/2023,8,Preventive maintenance
833,2953,12/19/2023,8,Replaced worn-out components
1033,1854,4/8/2023,3,Replaced faulty sensor
5632,2079,2/7/2023,7,Disinfection and sterilization
2291,4680,12/21/2023,2,Checked and tightened loose connections
2279,1514,7/31/2023,8,Disinfection and sterilization
3028,1484,8/15/2023,9,Verified calibration accuracy
2898,2668,7/7/2023,6,Preventive maintenance
5885,3753,9/3/2023,4,Replaced faulty sensor
514,2524,11/1/2023,1,Disinfection and sterilization
5391,425,1/21/2023,7,Disinfection and sterilization
2599,4499,7/16/2023,1,Replaced worn-out components
2246,3339,5/20/2023,7,Lubricated moving parts
2022,3998,8/12/2023,3,Safety inspection and compliance check
2954,3226,6/11/2023,3,Preventive maintenance
4686,2424,11/15/2023,4,Checked and tightened loose connections
4131,4357,2/5/2023,3,Preventive maintenance
1542,4347,6/21/2023,7,Calibrated equipment for accuracy
1235,4805,1/15/2023,9,Replaced worn-out components
2223,4301,6/5/2023,5,Replaced worn-out components
2420,173,10/28/2023,8,Diagnostic tests and troubleshooting
3812,1002,3/29/2023,9,Routine inspection and cleaning
5707,1038,8/1/2023,4,Emergency repair
3827,182,1/19/2023,4,Safety inspection and compliance check
1686,1716,5/15/2023,4,Diagnostic tests and troubleshooting
2216,4993,12/13/2023,8,Replaced worn-out components
4671,3022,12/23/2023,8,Disinfection and sterilization
5515,4996,6/1/2023,7,Routine inspection and cleaning
1969,2636,5/28/2023,3,Performed software update
2314,128,6/27/2023,7,Calibrated equipment for accuracy
1802,3066,9/18/2023,1,Checked and tightened loose connections
2525,2650,3/21/2023,6,Safety inspection and compliance check
4584,885,7/3/2023,7,Checked and tightened loose connections
4217,1137,1/28/2023,6,Replaced faulty sensor
2428,2215,7/1/2023,8,Replaced worn-out components
1390,1888,6/27/2023,4,Diagnostic tests and troubleshooting
5302,1487,5/27/2023,2,Replaced faulty sensor
5266,4544,12/7/2023,3,Routine inspection and cleaning
419,1942,4/12/2023,8,Checked and tightened loose connections
1153,1505,10/11/2023,8,Safety inspection and compliance check
2603,1336,2/16/2023,7,Verified calibration accuracy
2237,1649,7/3/2023,9,Diagnostic tests and troubleshooting
1107,2064,6/21/2023,3,Replaced faulty sensor
3803,4902,1/20/2023,6,Diagnostic tests and troubleshooting
5616,2428,10/20/2023,4,Verified calibration accuracy
13,2218,4/19/2023,2,Performed software update
765,4753,6/14/2023,2,Safety inspection and compliance check
1788,3845,8/10/2023,9,Replaced faulty sensor
2452,3971,1/29/2023,2,Calibrated equipment for accuracy
1111,1502,1/21/2023,7,Performed software update
3392,1675,6/7/2023,7,Replaced worn-out components
1747,1822,2/14/2023,2,Replaced faulty sensor
2081,1363,6/1/2023,1,Replaced faulty sensor
2123,2999,12/10/2023,1,Preventive maintenance
2798,912,11/5/2023,3,Verified calibration accuracy
5219,4904,7/20/2023,2,Emergency repair
882,1185,3/15/2023,8,Checked and tightened loose connections
4297,1310,7/25/2023,7,Emergency repair
1622,3462,9/4/2023,8,Lubricated moving parts
3720,206,2/20/2023,4,Checked and tightened loose connections
3858,3839,10/25/2023,3,Routine inspection and cleaning
5516,121,3/6/2023,2,Checked and tightened loose connections
3366,1556,5/7/2023,4,Performed software update
1551,293,4/6/2023,9,Routine inspection and cleaning
199,2214,5/15/2023,8,Preventive maintenance
2560,76,5/12/2023,3,Diagnostic tests and troubleshooting
5796,4388,1/10/2023,6,Verified calibration accuracy
682,4440,2/17/2023,5,Lubricated moving parts
5176,4727,10/19/2023,8,Performed software update
3636,1043,7/10/2023,8,Replaced faulty sensor
2119,706,3/17/2023,1,Emergency repair
1598,1089,1/28/2023,8,Routine inspection and cleaning
4799,4111,10/16/2023,6,Preventive maintenance
4739,1177,12/6/2023,5,Preventive maintenance
4258,1528,4/10/2023,8,Replaced worn-out components
1300,302,7/28/2023,7,Disinfection and sterilization
3474,2817,7/27/2023,2,Calibrated equipment for accuracy
384,1055,12/23/2023,2,Calibrated equipment for accuracy
2005,1731,8/26/2023,8,Verified calibration accuracy
1279,739,7/13/2023,5,Emergency repair
4211,4642,2/4/2023,9,Emergency repair
3707,332,9/30/2023,1,Disinfection and sterilization
5026,1061,4/29/2023,6,Preventive maintenance
4276,168,1/9/2023,7,Lubricated moving parts
5855,2712,11/5/2023,2,Performed software update
1759,3726,9/14/2023,5,Lubricated moving parts
