License_Number,FirmName,Doing_Business_As: ,Expiration_Date,Work_Phone,Street_Address,City,State,Zipcode
100100,R & C Corporation,Puritan Medical Equipment & Supplies,2/20/2015,(626) 335-0842,1728 South Bonnie Cove Avenue,Glendora,CA,91740
100105,"Pico Medical Rents & Sells, Inc.",,8/3/2015,(323) 936-4104,6035 West Pico Boulevard,Los Angeles,CA,90035
100109,MYT Home Health Care Inc.,South Bay Home Health Care,1/1/2015,(310) 618-9555,1349 El Prado Avenue,Torrance,CA,90501
100110,John L. Privett,All Medical Supply,10/1/2014,(661) 322-1496,"2001 Westwind Drive, Suite 15",Bakersfield,CA,93301
100113,"Homecare Service Specialist, Inc.",,11/26/2014,(818) 265-0424,328 North Orange Street,Glendale,CA,91203
100118,Apria Healthcare LLC,,1/1/2015,(530) 673-5513,"990 Klamath Lane, Suite 11",Yuba City,CA,95993
100119,Apria Healthcare LLC,,4/1/2015,(559) 732-6040,1526 E Mineral King Avenue,Visalia,CA,93292
100120,Apria Healthcare LLC,,4/1/2015,(707) 444-8022,1735 2nd Street,Eureka,CA,95501
100122,Apria Healthcare LLC,,1/1/2015,(707) 464-4242,630 G Street,Crescent City,CA,95531
100123,Apria Healthcare LLC,,4/1/2015,(707) 468-9242,221 E. Gobbi Street,Ukiah,CA,95482
100124,Apria Healthcare LLC,,7/1/2015,(530) 891-5226,"3028 Esplanade, Suite G",Chico,CA,95973
100126,"Metro-Med, Inc.",,11/26/2014,(818) 840-9090,1701 North San Fernando Boulevard,Burbank,CA,91504
100132,"Lincare, Inc.",,3/1/2015,(530) 755-0200,"990 Klamath Lane, Suite 25",Yuba City,CA,95993
100133,Professional Medical and Welding Supply Inc.,Professional Medical Supply,12/1/2014,(619) 449-0400,700 North Marshall Avenue,El Cajon,CA,92020
100137,"Acology Home Healthcare, Inc.",,6/1/2015,(310) 260-9633,1414 Wilshire Boulevard,Santa Monica,CA,90403
100140,"MLC Medical Marketing Group, Inc.",,4/1/2015,(626) 335-5418,"626 West Route 66, Suite C",Glendora,CA,91740
100143,Apria Healthcare LLC,,7/1/2015,(805) 983-0926,"2150 Trabajo Drive, Suite B",Oxnard,CA,93030
100145,Apria Healthcare LLC,,10/1/2014,(831) 655-4090,"1 Lower Ragsdale Dr. Bldg. #3, Suite 600",Monterey,CA,93940
100147,Apria Healthcare LLC,,4/1/2015,(925) 827-8800,4095 Pike Lane,Concord,CA,94520
100148,Apria Healthcare LLC,,6/1/2015,(661) 949-3447,43301 Division Street Suite 312,Lancaster,CA,93535
100149,Apria Healthcare LLC,,5/1/2015,(650) 588-9744,480 Carlton Court,South San Francisco,CA,94080
100150,Apria Healthcare LLC,,5/1/2015,(760) 241-4488,"14464 Atstar Drive, Suite 101/102",Victorville,CA,92395
100151,Apria Healthcare LLC,,5/23/2015,(408) 383-4400,2040 Corporate Court,San Jose,CA,95131
100155,Apria Healthcare LLC,,7/1/2015,(707) 543-0979,"3636 North Laughlin Road, Suite 190",Santa Rosa,CA,95403
100178,"Vital Enterprises, Inc.",Memorial Home Medical Equipment,2/1/2015,(209) 339-7610,"1115 South Fairmont Avenue, Suite 1",Lodi,CA,95240
100184,Apria Healthcare LLC,,2/1/2015,(209) 548-4400,4400 Sisk Road,Modesto,CA,95356
100188,C & S Medical Inc.,Valley Healthcare Supply,4/1/2015,(209) 725-1200,359 West Main Street,Merced,CA,95340
100196,Rehab Solutions,,9/6/2014,(949) 553-0263,16520 Aston Street,Irvine,CA,92606
100201,Astgik Soghomonian,Sanger Medical Supplies,12/1/2014,(559) 876-2551,1348 7th Street,Sanger,CA,93657
100210,Broadway Medical Service & Supply Inc.,,10/1/2014,(707) 442-3719,1034 Broadway,Eureka,CA,95501
100215,Premier Medical Supply,,3/1/2015,(209) 537-2882,"2800 Mitchell Road, Suite F",Ceres,CA,95307
100217,Intracommunity Home Care Inc.,,8/1/2015,(818) 500-9014,610 South Glendale Avenue,Glendale,CA,91205
100220,Enloe Medical Center,Enloe Home Medical Equipment,2/1/2015,(530) 332-6086,"1390 East Lassen Avenue, Suite 6",Chico,CA,95973
100225,"Lincare, Inc.",,8/3/2015,(530) 529-4141,344 South Main Street,Red Bluff,CA,96080
100230,"Lincare, Inc.",,12/6/2014,(530) 257-7513,1545 Paul Bunyan Road Building A,Susanville,CA,96130
100231,"Lincare, Inc.",,11/9/2014,(805) 485-8248,"1851 Holser Walk, Suite 215",Oxnard,CA,93036
100232,"United Medical Supplies, Inc.",,1/1/2015,(818) 718-2811,8811 Shirley Avenue,Northridge,CA,91324
100234,"Lincare, Inc.",,11/9/2014,(714) 220-6420,"10571 Calle Lee, Suite 155",Los Alamitos,CA,90720
100242,"Lincare, Inc.",,11/9/2014,(661) 833-3333,"4300 Stine Road, Suite 603",Bakersfield,CA,93313
100243,"Lincare, Inc.",,9/1/2015,(805) 922-8466,"427 West Betteravia, Suite B",Santa Maria,CA,93455
100259,Sherman Oaks Medical Supplies,,4/1/2015,(818) 981-9906,4840 Van Nuys Boulevard,Sherman Oaks,CA,91403
100282,Medcare Supply Company,Medcare Supply Company,12/5/2014,(818) 342-1306,18619 Ventura Boulevard,Tarzana,CA,91356
100302,"Medical Systems Home Health Care, Inc.",Resp Air,11/9/2014,(714) 444-0471,"17150 Euclid Street, Suite 306",Fountain Valley,CA,92708
100318,"Braden Partners, LP",Pacific Pulmonary Services,7/1/2015,(530) 224-9334,3078 Crossroads Drive,Redding,CA,96003
100325,Technomed Homecare Inc.,THI Home Medical Equipment,8/1/2014,(951) 672-2829,27188 Sun City Boulevard,Sun City,CA,92586
100331,"Owens Healthcare-Medical Equipment, Inc.",,9/1/2015,(530) 339-7950,"2025 Court Street, Suite C",Redding,CA,96001
100334,"Reece Homecare Services, Inc.",,1/1/2015,(661) 323-1843,"4000 Easton Drive, Suite 10",Bakersfield,CA,93309
100335,"Life-Care Home Health & Medical Supplies, Inc.",,9/1/2014,(310) 479-0094,11843 Wilshire Boulevard,Los Angeles,CA,90025
100347,"Metro-Med, Inc.",,10/1/2014,(714) 761-9761,"10841 Noel Street, Suite 108 & 103",Los Alamitos,CA,90720
100357,"Ashley Medical, Inc.",,10/1/2014,(619) 297-1983,1515 Washington Street,San Diego,CA,92103
100368,"Lincare, Inc.",,2/1/2015,(559) 585-3530,308 West Lacey Boulevard,Hanford,CA,93230
100376,"G.V. Medical Equipment & Supply, Inc.",,1/1/2015,(310) 542-6575,21032 Hawthorne Boulevard,Torrance,CA,90503
100381,"Medical Marts of Calif., Inc.",Bischoff's Medical & Mobility,11/1/2014,(408) 286-6651,225 North Bascom Avenue,San Jose,CA,95128
100382,"Centennial Medical Equipment, Inc.",Valley Oxygen & Medical Equipment,3/1/2015,(707) 526-4675,"3181 Cleveland Avenue, Suite F",Santa Rosa,CA,95403
100422,"American Medical & Equipment Supply, Inc",,6/1/2015,(408) 559-5800,3725 Union Avenue,San Jose,CA,95124
100424,Sunland Medical Supply,,8/1/2015,(818) 352-9880,"8530 Foothill Boulevard, Suite E",Sunland,CA,91040
100426,"Desert Medical Equipment, Inc.",,7/1/2015,(760) 247-2903,"13630 Pawnee Road, Bldg. 1, Unit 4",Apple Valley,CA,92307
100436,"Braden Partners, L.P.",Pacific Pulmonary Services,11/1/2015,(562) 981-3891,"2698 Junipero Avenue, Suite 111",Signal Hill,CA,90755
100440,"Metro-Med, Inc.","Metro-Med, Inc. - Ventura",8/1/2015,(805) 639-0202,"4464 Mc Grath Street, Suite 121",Ventura,CA,93003
100443,"Mobility Solutions, Inc.",,5/1/2015,(858) 278-0591,"7895 Convoy Court, Suite 11",San Diego,CA,92111
100453,"Life Medical Home Care Services, Inc.",,3/27/2015,(562) 904-1000,8051 Imperial Hwy.,Downey,CA,90242
100454,Technician Support Services Industry,TSSI,8/1/2014,(619) 644-2170,"7200 Parkway Drive, Suite 104",La Mesa,CA,91942
100455,Apria Healthcare LLC,,11/27/2014,(209) 475-6860,"220 Scottsville Blvd., Suite A",Jackson,CA,95642
100458,Yosemite Medical Supply,,4/1/2015,(209) 742-6224,"5034 Coakley Circle Drive, Suite 104",Mariposa,CA,95338
100495,"Braden Partners, L.P.",Pacific Pulmonary Services,2/1/2015,(760) 371-4350,919 East Ridgecrest Boulevard,Ridgecrest,CA,93555
100508,Wishing U Well Medical Inc.,,3/1/2015,(818) 832-4177,17507 Chatsworth Street,Granada Hills,CA,91344
100528,Omni Medical,,5/1/2015,(949) 598-8419,"9272 Jeronimo Road, Suite 120",Irvine,CA,92618
100533,Whittier Medical Homecare Supply,,6/1/2015,(562) 945-5556,12633 East Whittier Boulevard,Whittier,CA,90602
100537,"Amerasian Medical Supply Co., Inc.",Zenaida N. Bailon,7/1/2015,(408) 937-0166,1668 Alum Rock Avenue,San Jose,CA,95116
100539,"Lincare, Inc.",,9/1/2015,(805) 543-2665,"2945 Mc Millan Avenue, Suite 144",San Luis Obispo,CA,93401
100563,Wishing Well Products Inc.,Bay Area Medical,10/1/2014,(310) 829-1777,2314 Santa Monica Boulevard,Santa Monica,CA,90404
100576,"Pulmocare Respiratory Services, Inc.",,5/1/2015,(909) 777-5000,"760 South Via Lata Avenue, Suite 100",Colton,CA,92324
100608,San Diego Homecare Supplies,,8/30/2015,(619) 667-3700,7846 Broadway,Lemon Grove,CA,91945
100633,"Home Again Medical, Inc.",Douglas J. Olsen,7/1/2015,(916) 773-5959,200 Derek Place,Roseville,CA,95678
100646,"Mountain View Services, Inc.",,2/1/2015,(909) 335-8121,625 Amigos Drive,Redlands,CA,92373
100669,Sherian L. Prince,Pacific Medical Supply,9/1/2014,(707) 769-9606,"620 Petaluma Boulevard N, Suite A",Petaluma,CA,94952
100676,"United Oxygen Services, Inc.",,10/1/2014,(760) 346-0234,74304 Highway 111,Palm Desert,CA,92260
100678,"ITC Medical Supplies, Inc.",,10/1/2014,(415) 661-4900,1235 Noriega Street,San Francisco,CA,94122
100685,Harbor Medical Supply,,10/1/2014,(916) 372-8766,2917 West Capitol Avenue,West Sacramento,CA,95691
100711,"Adlife Medical Supply & Equipment, Inc.",,2/1/2015,(562) 809-0281,"11436 Artesia Boulevard, Suite C",Artesia,CA,90701
100742,KCK Industries,KCK Medical,7/11/2015,(818) 997-8574,"14941 Calvert Street, Suite A",Van Nuys,CA,91411
100761,Craft Wheelchair Repair,,6/19/2015,(323) 931-6164,5515 West San Vicente Boulevard,Los Angeles,CA,90019
100778,"San Mateo Wheelchairs, Inc.",Wheelchair of San Mateo,11/1/2014,(650) 342-4864,"808 Burlway Road, Suite 7",Burlingame,CA,94010
100814,"National Seating & Mobility, Inc.",,3/1/2015,(818) 718-1771,21807 Plummer Street,Chatsworth,CA,91311
100846,Special Needs,,11/1/2014,(858) 578-9923,"10675 Treena Street, Suite 102",San Diego,CA,92131
100847,Millbrae Medical Supply Inc.,,9/1/2015,(650) 593-2188,"425 Old County Road, Suite C",Belmont,CA,94002
100849,JR Medical Inc.,,8/1/2015,(949) 955-2920,"18003 Sky Park Circle, Suite H",Irvine,CA,92614
100859,"Hil-Rom Company, Inc.",,2/28/2015,(323) 266-6766,5516 Bandini Boulevard,Bell,CA,90201
100916,LEC Home Care Medical,,9/1/2014,(714) 821-4298,10732 Los Vaqueros Circle,Los Alamitos,CA,90720
100927,"National Seating  & Mobility, Inc.",,3/1/2015,(714) 939-9322,1125 East Stanford Court,Anaheim,CA,92805
100943,"Health-O-Med, Inc.",,8/1/2015,(323) 654-6890,7606 Santa Monica Boulevard,Los Angeles,CA,90046
100945,Discount Medical,,7/1/2015,(951) 343-1082,6570 Magnolia Avenue,Riverside,CA,92506
100957,Echmed Medical Supply,,8/2/2015,(323) 666-8932,3060 Glendale Boulevard,Los Angeles,CA,90039
100959,ITC Medical Supplies Inc.,,5/1/2015,(415) 387-7100,4373 Geary Boulevard,San Francisco,CA,94118
100960,Beach Cities Home Health Care,,7/1/2015,(310) 937-3650,401 Torrance Boulevard,Redondo Beach,CA,90277
100973,Eagle Medical Supply,,8/3/2015,(818) 559-6390,922 1/2 South San Fernando Boulevard,Burbank,CA,91502
100982,Arsenio Medical Supply,,8/2/2015,(818) 500-9469,"1259 South Glendale Avenue, Suite B",Glendale,CA,91205
100993,"Core Medical Products, Inc.",,7/1/2015,(909) 478-9728,"24769 Redlands Boulevard, Suite F",Loma Linda,CA,92354
100996,Fremont Uniform & Medical Supply,Fremont Medical Supply,11/1/2014,(510) 791-5586,644 Mowry Avenue,Fremont,CA,94536
101033,Brandi Paris,Vital Medical,3/12/2015,(714) 435-1904,"20351 Irvine Avenue, Suite C-6",Newport Beach,CA,92660
101037,"Pico Healthcare, Inc.",,10/1/2014,(310) 246-2326,8827 West Pico Boulevard,Los Angeles,CA,90035
101046,U.C. Medical Supply,,11/1/2014,(323) 876-3407,"3535 Cahuenga Boulevard, Suite 203",Los Angeles,CA,90068
101057,Marcar Shadarevian,Verdugo Medical Supplies,12/5/2014,(818) 244-5497,304 North Verdugo Road Suite B,Glendale,CA,91206
101072,Vartan Minasyan,The Bee Medical Supply,12/5/2014,(916) 638-2363,"11082 Coloma Road, Suite 10",Rancho Cordova,CA,95670
101078,"Star Medical & Surgical Supplies, Inc.",,10/31/2014,(323) 656-9921,7768 Santa Monica Boulevard,West Hollywood,CA,90046
101089,Residential Medical Service,,10/1/2014,(510) 553-9159,"7200 Bancroft Avenue, Suite 128",Oakland,CA,94605
101092,Ovik Avetisyan,AEG Medical Supply,8/1/2015,(323) 666-9410,5068 Hollywood Boulevard,Los Angeles,CA,90027
101096,Aram Karageozyan,Infiniti Medical Supply,8/1/2015,(562) 861-6232,"5863 East Imperial Hwy., Suite E",South Gate,CA,90280
101135,Jacksons Med. Services & Equip.,,8/1/2015,(510) 222-1075,2930 B Hilltop Mall Road,Richmond,CA,94806
101153,Aamcare Electropedic,Electropedic Beds,7/1/2015,(818) 845-7488,907 North Hollywood Way,Burbank,CA,91505
101174,Olympic Medical Supply & Equipment,,12/10/2014,(213) 389-5231,"3003 West Olympic Boulevard, Suite 205",Los Angeles,CA,90006
101175,Vine Medical Supplies,,11/1/2014,(323) 469-2255,7406 Santa Monica Boulevard,West Hollywood,CA,90046
101183,RD Universal Med Supply,,10/1/2014,(323) 257-5535,"4448 Eagle Rock Boulevard, Suite A",Los Angeles,CA,90041
101189,Canoga Medical Supplies,,8/2/2015,(818) 715-1173,"20050 Van Owen Street, Suite 1",Canoga Park,CA,91306
101198,"ATG-WCI, INC",Numotion,1/2/2015,(209) 467-1173,"3137 Tomahawk Drive, Suite C",Stockton,CA,95205
101210,American Medical Specialties,American Surgical Corporation,5/31/2014,(909) 883-8900,103 East Highland Avenue,San Bernardino,CA,92404
101224,Care Enterprises Medical Supply,,8/1/2014,(909) 514-1086,"1280 East Cooley Drive, Suite 27",Colton,CA,92324
101238,Advanced Respiratory Medical Systems Inc,"ARMS, Inc.",10/1/2014,(323) 233-6843,"231 West Vernon Avenue, Suite 103",Los Angeles,CA,90037
101251,"Admiral Medical Supplies, LLC",,5/10/2015,(650) 697-0900,357 El Camino Real,Millbrae,CA,94030
101263,"J.I. Investments, Inc.",Integrated Medical Services,10/31/2014,(310) 212-6899,"22114 South Vermont Avenue,  Suite 101",Torrance,CA,90502
101284,MiniMed Distribution Corp.,,9/13/2015,(800) 646-4633,18000 Devonshire Street,Northridge,CA,91325
101292,"Duramed Homecare Services, Inc.",,10/31/2014,(626) 357-6109,861 Meridian Street,Duarte,CA,91010
101293,Progressive Medical Industries Inc.,Total Diabetes Care and Medical Supp,10/31/2014,(310) 674-7528,310 East Florence Avenue,Inglewood,CA,90301
101305,Ruth Recalde,Aable Medical Product,10/31/2014,(650) 738-1223,"2309 Palmetto Avenue, Suite B",Pacifica,CA,94044
101341,Secureline Inc.,Tri Sigma,11/6/2014,(818) 788-8558,5158 Van Nuys Boulevard,Sherman Oaks,CA,91403
101383,Apria Healthcare LLC,,7/1/2015,(510) 346-4000,2476 Verna Court,San Leandro,CA,94577
101385,"Drake Medical Equipment Services, Inc.","Medical Equipment Services, Inc.",3/20/2015,(213) 989-0858,"1930 Wilshire Boulevard, Suite 902",Los Angeles,CA,90057
101398,"Welcome Medical Supplies, Inc.",,1/1/2015,(714) 530-5664,"9520 Garden Grove Boulevard, Suite 15",Garden Grove,CA,92844
101407,"Lincare, Inc.",,5/2/2015,(831) 724-1211,"444 Airport Boulevard, Suite 105",Watsonville,CA,95076
101428,Apria Healthcare LLC,,5/6/2015,(951) 320-1100,1565 Eastwood Court,Riverside,CA,92507
101464,A-1 Home Healthcare Inc.,,7/31/2015,(949) 498-1700,536 North El Camino Real,San Clemente,CA,92672
101482,Accurate Medical Supply & Equipment,,7/31/2014,(909) 624-3261,4738 Brooks Street,Montclair,CA,91763
101534,Alpha Medical Supplies Inc.,,6/1/2015,(714) 516-2222,1827 East Chapman Avenue,Orange,CA,92867
101583,"ATG - Rehab Specialists, Inc.",Numotion,2/11/2015,(831) 724-5544,446 Westridge Drive,Watsonville,CA,95076
101586,Attentive Care,,8/25/2014,(626) 288-0938,"306 North Garfield Avenue, Suite 11",Monterey Park,CA,91754
101699,Complete Care Medical Supply Inc.,,6/1/2015,(818) 986-9833,16756 Ventura Boulevard,Encino,CA,91436
101708,"Mobility Solutions, Inc.",,7/2/2015,(909) 824-2185,"1001 East Cooley Drive, Suite 104",Colton,CA,92324
101754,"Gold Castle, Inc.",Easy Life Home Health Care Center,9/29/2014,(323) 666-0949,5230 Hollywood Boulevard,Hollywood,CA,90027
101758,Apria Healthcare LLC,,8/15/2015,(707) 422-9901,"2339 Courage Drive, Suite G",Fairfield,CA,94533
101800,First Choice Medical Supply,First Choice Medical Supply,6/30/2015,(661) 951-0872,"45114 Trevor Avenue, Suite 101",Lancaster,CA,93534
101878,Home Health Depot,,3/12/2015,(310) 891-1954,2059 Pacific Coast Highway,Lomita,CA,90717
101923,"Vision Quest Industries, Inc.",VQ Orthocare,6/24/2015,(949) 261-3000,18011 Mitchell Street,Irvine,CA,92614
101937,"Johnston Orthopedic & Medical Supplies, Inc.",,4/30/2015,(510) 843-2488,2801 Shattuck Avenue,Berkeley,CA,94705
102068,Medical Supply Super Store,,4/3/2015,(951) 245-2235,"32245 Mission Trail Road, Suite D10",Lake Elsinore,CA,92530
102125,"Complete Total Care, Inc.",,6/19/2015,(818) 505-6980,12504 Magnolia Boulevard,North Hollywood,CA,91607
102186,Pearl Ventures,Pearl Medical Supply,8/17/2014,(909) 422-8005,1618 East Washington Street,Colton,CA,92324
102189,"Super Care, Inc.",SuperCare,8/26/2015,(800) 206-4880,16017 Valley Boulevard,City of Industry,CA,91744
102201,"Right Healthcare, Inc.",,11/20/2014,(661) 328-1614,"1121 West Columbus Street, Suite A",Bakersfield,CA,93301
102327,"Speedy Care Medical Distributors, Inc.",,12/28/2014,(323) 242-2018,8955 South Western Avenue,Los Angeles,CA,90047
102386,Everything Pharmacy Related II Inc.,Total Remedy and Prescription Center,8/23/2015,(213) 481-1130,"1245 Wilshire Boulevard, 1st Floor Suite 117",Los Angeles,CA,90017
50291,"Kadence Healthcare, Inc.",,10/3/2014,(714) 220-0071,10840 Walker St.,Cypress,CA,90630
102387,Tri County Mobility LLC,,4/30/2015,(805) 967-0070,"310 Pine Street, Suite A",Goleta,CA,93117
102452,"H & H Drug Stores, Inc.",Western Drug Medical Supply,4/30/2015,(818) 956-6691,3604 San Fernando Road,Glendale,CA,91204
102455,Declan Medical Equipment Inc.,Western Rehab,12/21/2014,(925) 313-5770,"825 Arnold Drive, Suite 112",Martinez,CA,94553
102496,"Braden Partners, L.P.",Pacific Pulmonary Services,1/18/2015,(209) 543-8612,"4140 Bangs Avenue, Suite A",Modesto,CA,95356
102497,Alpine Home Medical,,1/18/2015,(562) 493-3910,13908 Seal Beach Boulevard,Seal Beach,CA,90740
102505,Apria Healthcare LLC,,1/23/2015,(925) 245-2485,"410 Longfellow Street, Suite A",Livermore,CA,94550
102511,Oxy Respiratory & Home Medical Equipment,,10/1/2015,(818) 786-8880,7324 North Sepulveda Boulevard,Van Nuys,CA,91405
102515,Plumas Medical Services,,2/7/2015,(530) 284-1744,4352 Main Street,Taylorsville,CA,95983
102517,"Lincare, Inc.",,2/8/2015,(661) 949-0015,"42207 6th Street West, Suite 101",Lancaster,CA,93534
102552,"National Seating & Mobility, Inc.",,3/1/2015,(559) 685-9095,1500 South Blackstone Street,Tulare,CA,93274
102553,"National Seating & Mobility, Inc.",,3/1/2015,(707) 399-0106,"2850 Cordelia Road, Suite 150",Fairfield,CA,94534
102555,"National Seating & Mobility, Inc.",,3/1/2015,(661) 833-3340,"4705 New Horizon Boulevard, Suite 2",Bakersfield,CA,93313
102556,"National Seating & Mobility, Inc.",,3/1/2015,(707) 575-6188,"3345 Industrial Drive, Unit 14",Santa Rosa,CA,95407
102576,Shield-California Healthcare,,5/10/2015,(800) 675-8842,"423 West Fallbrook Avenue, Suite 101",Fresno,CA,93711
102623,"Northern Rehab Equipment, Inc.",Northern Rehab & Respiratory,8/9/2015,(530) 221-8040,3048 South Market Street,Redding,CA,96001
102667,Medlife Medical Supply Inc.,,11/27/2014,(818) 708-9444,"19611 Ventura Boulevard, Suite 102",Tarzana,CA,91356
102670,AirCare Home Respiratory,,10/23/2014,(714) 740-1100,"13311 Garden Grove Boulevard, Suite D",Garden Grove,CA,92843
102686,Safar A. Mansoor,Feroz Medical Supplies,7/13/2015,(213) 480-3072,"3030 West Temple Street, Suite 102 & 105",Los Angeles,CA,90026
102689,"Plus One Medical, Inc.",,12/17/2014,(949) 597-1020,"23022 La Cadena, Suite 100",Laguna Hills,CA,92653
102755,Edwards Medical,,12/30/2014,(916) 446-5400,525 S Street,Sacramento,CA,95811
102759,Apria Healthcare LLC,,12/19/2014,(916) 921-1162,1450 Expo Parkway,Sacramento,CA,95815
102782,"Emporium Medical Equipment, Inc.",,1/29/2015,(714) 224-7474,150 East Imperial Hwy.,Fullerton,CA,92835
102795,Ras Medical Supplies Inc.,,1/29/2015,(323) 939-9020,1024 South La Brea Avenue,Los Angeles,CA,90019
102800,ACI Sytems Inc.,Advanced Cardiovascular Imaging,5/20/2015,(818) 508-1728,10847 Burbank Boulevard,North Hollywood,CA,91601
102823,I Feel Good Medical Outlet,,12/18/2014,(707) 426-2211,1113 Texas Street,Fairfield,CA,94533
102856,"Sonoma Surgical, A. Corp.",Sonoma Surgical Supply,2/28/2015,(707) 539-5151,4951 and 4975 Sonoma Hwy. (Adjacent Lots),Santa Rosa,CA,95409
102896,A-1 Oxygen,,12/16/2014,(818) 501-5777,"16218 Ventura Boulevard, Suite 3",Encino,CA,91436
102899,"Medicool, Inc.",,4/21/2015,(310) 782-2200,20460 Gramercy Place,Torrance,CA,90501
102962,"Braden Partners, LP",Pacific Pulmonary Services,3/25/2015,(209) 463-1123,"2666  West Lane, Suite A",Stockton,CA,95205
102974,Apria Healthcare LLC,,4/30/2015,(805) 783-7412,"705 Fiero Lane, Suite 10-15",San Luis Obispo,CA,93401
102975,Apria Healthcare LLC,,5/7/2015,(760) 724-9300,2530 Jason Court,Oceanside,CA,92056
102983,"Helping Hands Medical Supplies, Inc.",,10/17/2014,(805) 494-4402,"2955 East Hillcrest Drive, No. 106",Thousand Oaks,CA,91362
103006,Wesco Medical Supplies & Equipment Co. I,,9/24/2014,(951) 769-0614,"701 Highland Springs Avenue, Suite 4",Beaumont,CA,92223
103028,Boctor (Victor) F. Said,Accurate Healthcare Supplies,6/20/2015,(714) 378-1022,10529 Ellis Avenue,Fountain Valley,CA,92708
103039,Eric Carl Castaneda,Diamond Springs Mobility,12/17/2014,(530) 626-7638,"484 Pleasant Valley Road, Suite 20",Diamond Springs,CA,95619
103054,"Quick Medical Supplies, Inc.",,4/28/2015,(760) 946-1414,"15940 Quantico Road, Suite 100",Apple Valley,CA,92307
103061,"Ultimate HME, Inc.",,8/3/2015,(562) 498-5866,3250 East 19th Street,Signal Hill,CA,90755
103074,"Sports Bracing USA, Inc.",,9/1/2014,(408) 978-1114,"3162 Newberry Drive, Suite B",San Jose,CA,95118
103105,"Air-Way Medical, Inc.",,6/25/2015,(760) 872-1117,437 East Line Street,Bishop,CA,93514
103146,Best Way Medical Supply,,7/11/2014,(818) 345-8272,"18305 Sherman Way, No. 27",Reseda,CA,91335
103156,American Mobility Center,,8/2/2014,(760) 722-9802,"3753 Mission Avenue, Suite 114",Oceanside,CA,92058
103172,Chung Ja Kim,Life Med,1/26/2015,(213) 385-9133,"333 South Western Avenue, Suite A",Los Angeles,CA,90020
103178,Northern Home Medical,,6/19/2015,(530) 272-9021,930 Idaho Maryland Road,Grass Valley,CA,95945
103210,Apria Healthcare LLC,,8/26/2015,(707) 961-1770,579 South Franklin Street,Fort Bragg,CA,95437
103228,Apria Healthcare LLC,,10/8/2014,(760) 200-2918,38888 El Desierto Rd,Palm Desert,CA,92211
103236,"Hill-Rom Company, Inc.",,10/17/2014,(530) 222-8583,"20275 Skypark Drive, Suite E",Redding,CA,96002
103238,"Hill-Rom Company, Inc.",,11/12/2014,(661) 323-8805,"3232 Rio Mirada, Suite C-3",Bakersfield,CA,93308
103250,"Braden Partners, LP",Pacific Pulmonary Service,12/29/2014,(408) 954-1961,"1701 Fortune Drive, Unit B",San Jose,CA,95131
103272,"VOS Transportation, LLC",Medical Products Supplier,11/14/2014,(213) 427-3565,"3030 Temple Street, Suite 108",Los Angeles,CA,90026
103334,"New Life Medical Supply, Inc.",,1/26/2015,(562) 924-7788,11823 Artesia Boulevard,Artesia,CA,90701
103335,Global Commerce,,10/8/2014,(310) 221-5310,"1300 East 223rd Street, Suite 407",Carson,CA,90745
103348,Apria Healthcare LLC,,11/18/2014,(559) 221-2251,3542 West Holland Avenue,Fresno,CA,93722
103369,Apria Healthcare LLC,,4/16/2015,(530) 221-0202,"6680 Lockheed Drive, Suite 100",Redding,CA,96002
103373,Apria Healthcare LLC,,12/29/2014,(562) 222-2245,"9930 Pioneer Boulevard, Suite 102",Santa Fe Springs,CA,90670
103404,Apria Healthcare LLC,,2/2/2015,(310) 297-6986,610 South Douglas Street,El Segundo,CA,90245
103405,Daily Care Inc.,,3/15/2015,(818) 705-0606,19330 Ventura Boulevard,Tarzana,CA,91356
103448,Med 1 Specialties Inc.,,3/15/2015,(818) 988-6290,"16022 Arminta Street, Suite 4",Van Nuys,CA,91406
103449,United Medical Services,DME & Oxygen,4/8/2015,(661) 721-2300,1313 C Main Street,Delano,CA,93215
103450,"R.C.P.S., Inc.",IVR Home Health Equipment,3/16/2015,(951) 788-8522,"1240 Palmyrita Avenue, Suite E- H",Riverside,CA,92507
103469,CityWheelchairs Inc.,,4/7/2015,(415) 508-1153,"1485 Bayshore Boulevard, #412",San Francisco,CA,94124
103471,Advanced Rehabilitation Technologies,,8/18/2015,(858) 621-5959,7950 Dunbrook Road,San Diego,CA,92126
103498,Apria Healthcare LLC,,3/1/2015,(209) 475-6860,7514 Murray Drive,Stockton,CA,95210
103509,"Bethany Medical Supply, Inc.",,5/10/2015,(626) 961-8699,"525 North Azusa Avenue, Suite 111",La Puente,CA,91744
103521,Redwood Empire Medical Supply,,5/13/2015,(707) 585-6800,"6620 Redwood Drive, Suite 1",Rohnert Park,CA,94928
103530,Drug Therapy Systems Co Inc.,Chico Medical Supply & Ostomy,9/14/2015,(530) 899-5550,195 Cohasset Road,Chico,CA,95926
103554,Todd Matthew Bullock,Sierra Prosthetics - Orthotics,7/20/2015,(530) 477-1004,138 Joerschke Drive,Grass Valley,CA,95945
103557,"Meridian Medical Products, Inc.",,9/13/2014,(818) 990-0822,"14144 Ventura Boulevard, No.150",Sherman Oaks,CA,91423
103565,Advans CPAP Inc.,,7/14/2015,(714) 897-2727,"12881 Knott Street, Suite 203",Garden Grove,CA,92841
